dn_id,dn_name,in_id,in_name,mn_id,mn_name,muscle,dn_in_synapses,in_mn_synapses,pathway_strength
720575941438410514,DNb07,720575941671138727,IN13A013,720575941643100754,ps1,ps1,28,41,1148
720575941438410514,DNb07,720575941671138727,IN13A013,720575941643100754,ps1,ps1,28,36,1008
720575941438410514,DNb07,720575941671138727,IN13A013,720575941643100754,ps1,ps1,28,34,952
720575941438410514,DNb07,720575941671138727,IN13A013,720575941645041313,ps1,ps1,28,64,1792
720575941438410514,DNb07,720575941671138727,IN13A013,720575941645041313,ps1,ps1,28,157,4396
720575941440280767,DNa15,720575941429556655,IN14B007,720575941630940642,hg4,hg4,42,57,2394
720575941440280767,DNa15,720575941458334163,w-cHIN,720575941624155644,b2,b2,33,50,1650
720575941440280767,DNa15,720575941503451301,w-cHIN,720575941624155644,b2,b2,53,44,2332
720575941440280767,DNa15,720575941608991050,w-cHIN,720575941521196211,b1,b1,66,31,2046
720575941440280767,DNa15,720575941608991050,w-cHIN,720575941624155644,b2,b2,66,29,1914
720575941442418639,DNxn142,720575941503451301,w-cHIN,720575941624155644,b2,b2,30,44,1320
720575941445707284,DNp28,720575941723242042,IN14B007,720575941459347411,iii4,iii4,35,42,1470
720575941447863316,DNb05,720575941457802480,IN12B015,720575941516770670,iii4,iii4,59,26,1534
720575941447863316,DNb05,720575941457802480,IN12B015,720575941516770670,iii4,iii4,43,26,1118
720575941450506830,DNp18,720575941458334163,w-cHIN,720575941624155644,b2,b2,25,50,1250
720575941450506830,DNp18,720575941503451301,w-cHIN,720575941624155644,b2,b2,36,44,1584
720575941450506830,DNp18,720575941503451301,w-cHIN,720575941624155644,b2,b2,26,44,1144
720575941450506830,DNp18,720575941608991050,w-cHIN,720575941521196211,b1,b1,44,31,1364
720575941450506830,DNp18,720575941608991050,w-cHIN,720575941624155644,b2,b2,44,29,1276
720575941451941498,DNp33,720575941438723263,IN11B017,720575941513173763,hg4,hg4,26,30,780
720575941456897005,DNa02,720575941496830370,w-cHIN,720575941565378919,iii3,iii3,32,58,1856
720575941456897005,DNa02,720575941501721138,w-cHIN,720575941565378919,iii3,iii3,28,51,1428
720575941461674436,DNb06,720575941583601886,IN12A012,720575941468897856,i1,i1,27,48,1296
720575941461674436,DNb06,720575941583601886,IN12A012,720575941468897856,i1,i1,27,34,918
720575941461674436,DNb06,720575941583601886,IN12A012,720575941474574132,b3,b3,27,25,675
720575941461674436,DNb06,720575941583601886,IN12A012,720575941474574132,b3,b3,27,62,1674
720575941461674436,DNb06,720575941583601886,IN12A012,720575941475745898,i2,i2,27,31,837
720575941461674436,DNb06,720575941583601886,IN12A012,720575941475745898,i2,i2,27,51,1377
720575941463843597,DNp45,720575941670676135,IN11A001,720575941547394081,i2,i2,25,47,1175
720575941463843597,DNp45,720575941670676135,IN11A001,720575941547394081,i2,i2,25,127,3175
720575941471808375,DNxn125,720575941553338778,IN12A012,720575941542412805,b3,b3,37,66,2442
720575941471808375,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,25,925
720575941471808375,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,38,1406
720575941471808375,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,40,1480
720575941471808375,DNxn125,720575941553338778,IN12A012,720575941547394081,i2,i2,37,32,1184
