dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941593505387,DNnt017,False,0.0,0.0,True,3,1,121,indirect_only,121.0
720575941628867042,DNg04,True,2.0,37.0,True,4,4,81,both,118.0
720575941553786503,aSP22,False,0.0,0.0,True,4,7,118,indirect_only,118.0
720575941552907838,DNp45,False,0.0,0.0,True,6,9,115,indirect_only,115.0
720575941491761895,DNp10,False,0.0,0.0,True,7,13,114,indirect_only,114.0
720575941688189935,DNb01,False,0.0,0.0,True,5,8,114,indirect_only,114.0
720575941456897005,DNa02,True,1.0,11.0,True,3,3,102,both,113.0
720575941414341521,DNxn102,True,1.0,11.0,True,4,14,102,both,113.0
720575941506310821,DNge016,False,0.0,0.0,True,4,3,110,indirect_only,110.0
720575941477013825,DNg04,True,2.0,41.0,True,3,6,68,both,109.0
720575941534222770,DNp15,False,0.0,0.0,True,5,6,109,indirect_only,109.0
720575941515619427,DNpe055,False,0.0,0.0,True,6,25,108,indirect_only,108.0
720575941470003677,DNa12,False,0.0,0.0,True,2,4,108,indirect_only,108.0
720575941408661934,DNxn155,False,0.0,0.0,True,4,16,107,indirect_only,107.0
720575941596602048,DNxn118,False,0.0,0.0,True,4,5,106,indirect_only,106.0
720575941511336402,DNg04,True,2.0,69.0,True,1,2,35,both,104.0
720575941543045149,DNa09,False,0.0,0.0,True,7,7,103,indirect_only,103.0
720575941507073303,DNp02,False,0.0,0.0,True,5,19,103,indirect_only,103.0
720575941557413284,DNut051,True,2.0,23.0,True,4,6,79,both,102.0
720575941609235302,DNge090,False,0.0,0.0,True,6,8,102,indirect_only,102.0
720575941633206944,DNp103,False,0.0,0.0,True,4,3,100,indirect_only,100.0
720575941471238263,DNxn102,False,0.0,0.0,True,4,17,98,indirect_only,98.0
720575941430069641,DNp17,False,0.0,0.0,True,3,3,96,indirect_only,96.0
720575941475448123,DNxn159,False,0.0,0.0,True,2,2,95,indirect_only,95.0
720575941496676295,DNa06,False,0.0,0.0,True,3,2,95,indirect_only,95.0
720575941562059176,DNg82,False,0.0,0.0,True,4,2,95,indirect_only,95.0
720575941430250377,DNg91,False,0.0,0.0,True,6,13,95,indirect_only,95.0
720575941624831228,DNg17,True,1.0,58.0,True,2,14,33,both,91.0
720575941591050494,DNg32,True,1.0,12.0,True,4,6,79,both,91.0
720575941632167611,DNg73,False,0.0,0.0,True,2,1,90,indirect_only,90.0
720575941542664284,DNxn176,False,0.0,0.0,True,6,10,87,indirect_only,87.0
720575941438690834,DNp51,False,0.0,0.0,True,4,4,86,indirect_only,86.0
720575941536778389,DNg01,False,0.0,0.0,True,3,2,86,indirect_only,86.0
720575941545312005,DNp22,True,1.0,13.0,True,4,5,69,both,82.0
720575941579876085,DNg74,False,0.0,0.0,True,3,2,81,indirect_only,81.0
720575941572669342,DNb06,False,0.0,0.0,True,3,13,81,indirect_only,81.0
720575941656710736,DNge091,False,0.0,0.0,True,4,7,81,indirect_only,81.0
720575941548169608,DNp51,True,1.0,20.0,True,4,6,59,both,79.0
720575941532746981,DNp43,False,0.0,0.0,True,3,8,79,indirect_only,79.0
720575941441623899,DNg75,False,0.0,0.0,True,3,6,79,indirect_only,79.0
720575941435430542,DNg42,False,0.0,0.0,True,3,7,79,indirect_only,79.0
720575941681678525,DNge093,False,0.0,0.0,True,3,2,78,indirect_only,78.0
720575941414424977,DNp57,False,0.0,0.0,True,5,8,78,indirect_only,78.0
720575941491992807,DNg100,False,0.0,0.0,True,1,1,78,indirect_only,78.0
720575941455714541,DNb02,False,0.0,0.0,True,4,5,77,indirect_only,77.0
720575941574230523,DNg02,True,3.0,65.0,True,1,2,11,both,76.0
720575941612195501,DNg17,True,1.0,42.0,True,3,11,34,both,76.0
720575941555674340,DNg41,False,0.0,0.0,True,5,7,76,indirect_only,76.0
720575941537703144,DNg04,True,2.0,54.0,True,1,2,21,both,75.0
720575941514461772,DNp11,False,0.0,0.0,True,2,8,74,indirect_only,74.0
720575941626967865,DNge091,False,0.0,0.0,True,6,9,74,indirect_only,74.0
720575941471127104,DNp53,False,0.0,0.0,True,3,4,73,indirect_only,73.0
720575941629726246,DNp07,False,0.0,0.0,True,4,9,73,indirect_only,73.0
720575941503507435,DNp02,False,0.0,0.0,True,5,11,73,indirect_only,73.0
720575941595955569,DNp13,False,0.0,0.0,True,5,7,73,indirect_only,73.0
720575941611791590,DNp06,False,0.0,0.0,True,4,11,72,indirect_only,72.0
720575941688517388,DNg93,True,1.0,70.0,False,0,0,0,direct_only,70.0
720575941566556775,DNxn159,False,0.0,0.0,True,2,2,70,indirect_only,70.0
720575941657879576,DNp06,False,0.0,0.0,True,5,11,69,indirect_only,69.0
720575941612286428,DNut048,False,0.0,0.0,True,3,2,69,indirect_only,69.0
720575941514949881,DNnt017,False,0.0,0.0,True,1,1,67,indirect_only,67.0
720575941652815857,DNb03,False,0.0,0.0,True,3,3,67,indirect_only,67.0
720575941536972018,DNg32,False,0.0,0.0,True,3,5,67,indirect_only,67.0
720575941534435338,DNp22,True,1.0,13.0,True,3,4,52,both,65.0
720575941551948543,DNp63,True,1.0,11.0,True,3,15,54,both,65.0
720575941535140362,DNg15,False,0.0,0.0,True,6,11,64,indirect_only,64.0
720575941433654048,DNge175,False,0.0,0.0,True,4,2,64,indirect_only,64.0
720575941554952858,DNge053,False,0.0,0.0,True,3,3,64,indirect_only,64.0
720575941563391383,DNg82,False,0.0,0.0,True,3,2,63,indirect_only,63.0
720575941519463278,DNg108,False,0.0,0.0,True,2,1,63,indirect_only,63.0
720575941612039142,DNbe005,True,2.0,51.0,True,1,1,12,both,63.0
720575941550794751,DNg36,False,0.0,0.0,True,2,6,62,indirect_only,62.0
720575941472044352,DNg82,True,2.0,21.0,True,2,1,41,both,62.0
720575941504810290,DNg90,False,0.0,0.0,True,1,1,61,indirect_only,61.0
720575941591448972,DNa08,True,4.0,61.0,False,0,0,0,direct_only,61.0
720575941470254400,DNa08,True,2.0,51.0,True,1,17,10,both,61.0
720575941565245794,DNxn151,False,0.0,0.0,True,4,11,58,indirect_only,58.0
720575941449983581,DNg15,False,0.0,0.0,True,3,6,58,indirect_only,58.0
720575941601731769,DNxn118,False,0.0,0.0,True,3,4,57,indirect_only,57.0
720575941476852254,DNg62,False,0.0,0.0,True,1,1,57,indirect_only,57.0
720575941531996645,DNpe042,False,0.0,0.0,True,3,2,57,indirect_only,57.0
720575941536301288,DNb02,False,0.0,0.0,True,4,7,56,indirect_only,56.0
720575941732586539,DNg05,True,3.0,32.0,True,2,5,24,both,56.0
720575941480784258,DNp43,False,0.0,0.0,True,3,6,56,indirect_only,56.0
720575941483554189,DNut050,False,0.0,0.0,True,3,2,55,indirect_only,55.0
720575941503528171,DNg02,True,2.0,34.0,True,2,2,21,both,55.0
720575941561376813,DNde006,False,0.0,0.0,True,2,3,54,indirect_only,54.0
720575941496426695,DNg02,True,4.0,54.0,False,0,0,0,direct_only,54.0
720575941504921906,DNp47,False,0.0,0.0,True,3,19,53,indirect_only,53.0
720575941562215469,DNg98,False,0.0,0.0,True,3,3,53,indirect_only,53.0
720575941513772179,DNxn117,False,0.0,0.0,True,3,8,53,indirect_only,53.0
720575941574984201,DNge148,True,3.0,53.0,False,0,0,0,direct_only,53.0
720575941611992493,DNxn007,True,1.0,18.0,True,3,5,35,both,53.0
720575941513768780,DNge037,False,0.0,0.0,True,2,2,53,indirect_only,53.0
720575941681032125,DNg02,True,3.0,52.0,False,0,0,0,direct_only,52.0
720575941459103391,DNg79,False,0.0,0.0,True,4,18,51,indirect_only,51.0
720575941502628695,DNp15,False,0.0,0.0,True,4,5,51,indirect_only,51.0
720575941558381860,DNxn183,False,0.0,0.0,True,3,3,51,indirect_only,51.0
720575941441226943,DNp53,False,0.0,0.0,True,3,5,50,indirect_only,50.0
720575941541726493,DNge091,False,0.0,0.0,True,4,10,50,indirect_only,50.0
720575941607693421,DNg111,False,0.0,0.0,True,1,3,50,indirect_only,50.0
720575941511473996,DNut054,True,1.0,12.0,True,3,7,37,both,49.0
720575941639763999,DNg51,False,0.0,0.0,True,3,3,49,indirect_only,49.0
720575941609747430,DNge014,False,0.0,0.0,True,2,2,49,indirect_only,49.0
720575941564504832,DNfl025,False,0.0,0.0,True,1,1,49,indirect_only,49.0
720575941551414170,DNg07,False,0.0,0.0,True,3,7,49,indirect_only,49.0
720575941411212715,DNg32,False,0.0,0.0,True,3,5,48,indirect_only,48.0
720575941580369489,DNg08,False,0.0,0.0,True,4,6,48,indirect_only,48.0
720575941539226866,DNp63,True,1.0,21.0,True,2,13,27,both,48.0
720575941498444155,DNg06,False,0.0,0.0,True,3,17,47,indirect_only,47.0
720575941476250164,DNut062,False,0.0,0.0,True,3,4,45,indirect_only,45.0
720575941400285475,DNnt020,False,0.0,0.0,True,1,1,45,indirect_only,45.0
720575941543684357,DNg94,False,0.0,0.0,True,3,5,45,indirect_only,45.0
720575941546446697,DNg91,False,0.0,0.0,True,2,7,45,indirect_only,45.0
720575941557388708,DNb03,False,0.0,0.0,True,3,5,44,indirect_only,44.0
720575941450378333,DNp103,False,0.0,0.0,True,2,2,44,indirect_only,44.0
720575941481103523,DNxn136,False,0.0,0.0,True,3,6,44,indirect_only,44.0
720575941560434035,DNxn152,False,0.0,0.0,True,3,6,44,indirect_only,44.0
720575941554694372,DNg36,False,0.0,0.0,True,2,6,44,indirect_only,44.0
720575941602114494,DNnt015,False,0.0,0.0,True,1,2,43,indirect_only,43.0
720575941461674436,DNb06,False,0.0,0.0,True,1,3,43,indirect_only,43.0
720575941539809997,DNp03,True,1.0,15.0,True,2,2,28,both,43.0
720575941493998464,DNnt010,False,0.0,0.0,True,1,1,43,indirect_only,43.0
720575941537710824,DNg98,False,0.0,0.0,True,3,4,43,indirect_only,43.0
720575941733143339,DNg94,False,0.0,0.0,True,2,4,43,indirect_only,43.0
720575941593683051,DNp10,False,0.0,0.0,True,2,3,43,indirect_only,43.0
720575941412619631,DNxn153,False,0.0,0.0,True,3,6,43,indirect_only,43.0
720575941452165801,DNxn146,False,0.0,0.0,True,2,2,42,indirect_only,42.0
720575941554109668,DNg51,False,0.0,0.0,True,3,3,41,indirect_only,41.0
720575941562036743,DNut042,False,0.0,0.0,True,3,6,41,indirect_only,41.0
720575941504703938,DNb02,False,0.0,0.0,True,3,6,41,indirect_only,41.0
720575941562404008,DNge088,False,0.0,0.0,True,2,4,40,indirect_only,40.0
720575941521340087,DNp51,False,0.0,0.0,True,3,6,40,indirect_only,40.0
