interneuron_id,degree_centrality,betweenness_centrality,n_target_mns
720575941511393233,0.36057068741893644,0.08099217173877217,9
720575941524114276,0.35797665369649806,0.08211280320986335,9
720575941564147346,0.35149156939040205,0.010441781495660338,24
720575941669049587,0.35149156939040205,0.010441781495660338,24
720575941516099500,0.3463035019455253,0.01012237534496062,23
720575941594160421,0.3463035019455253,0.010029843825684746,23
720575941554049307,0.3411154345006485,0.009745536225229006,22
720575941515619939,0.33981841763942927,0.00859407270195467,22
720575941402032240,0.3372243839169909,0.009241001737349206,22
720575941407795118,0.33073929961089493,0.0082556369156864,21
720575941518434227,0.32814526588845655,0.007994912440858419,19
720575941637958687,0.32555123216601817,0.00895981549927198,21
720575941618008447,0.31906614785992216,0.007604968985446601,18
720575941703124698,0.3138780804150454,0.007236052829824347,17
720575941484663558,0.3125810635538262,0.007658045222037216,17
720575941460235152,0.3009079118028534,0.006021118408883865,16
720575941561308818,0.29961089494163423,0.006154939535746868,15
720575941408509867,0.29182879377431903,0.006167708716765589,14
720575941477897346,0.2853437094682231,0.00544735174623962,17
720575941612696934,0.2827496757457847,0.004703120243294502,15
720575941671138727,0.2814526588845655,0.018959500694924872,12
720575941581685113,0.2736705577172503,0.0030786725723911407,12
720575941517770412,0.2723735408560311,0.005226923460014435,11
720575941477553376,0.2723735408560311,0.0053105548468717935,11
720575941519213016,0.26588845654993515,0.004057478586210045,13
720575941449835898,0.2619974059662776,0.0032296148558744048,9
720575941439197269,0.2607003891050583,0.0037546026835496883,14
720575941447887636,0.25940337224383914,0.0036590017218646425,13
720575941611056714,0.25940337224383914,0.0036590017218646425,13
720575941652536593,0.2490272373540856,0.003448446997807659,12
720575941623108298,0.2477302204928664,0.011963942374704623,10
720575941632673516,0.2464332036316472,0.003223307107944335,10
720575941551389979,0.2464332036316472,0.003729800863711372,11
720575941595757724,0.2438391699092088,0.003139211916774272,11
720575941512896099,0.23865110246433202,0.00307553278663376,12
720575941431075503,0.23865110246433202,0.0024469552228919373,11
720575941456348575,0.23605706874189364,0.05459569823312303,6
720575941505835137,0.23476005188067445,0.002574023514056015,12
720575941576958197,0.23476005188067445,0.002851684260152814,10
720575941435993888,0.22827496757457846,0.0020444843113535914,10
720575941486089538,0.22308690012970167,0.002216304963403423,10
720575941511275986,0.2153047989623865,0.01775368305571239,7
720575941729958699,0.21141374837872892,0.029776498991734946,6
720575941642372040,0.20492866407263294,0.022230296479498042,6
720575941457147206,0.20363164721141375,0.03188010870365979,5
720575941571427323,0.20233463035019456,0.0015373439962516598,8
720575941610618982,0.20103761348897534,0.0016151786378651221,10
720575941562464866,0.19844357976653695,0.0013359131265106405,8
720575941563314486,0.19584954604409857,0.01803349625833964,4
720575941415476252,0.19325551232166016,0.0011033982112724767,10
720575941547177076,0.19325551232166016,0.010071484006308444,5
720575941450532174,0.19195849546044097,0.013439858598986621,5
720575941575681718,0.1867704280155642,0.014525935025987306,6
720575941459906630,0.1867704280155642,0.0009576893232874936,7
720575941574412943,0.18547341115434499,0.01483576365909569,3
720575941642530504,0.18547341115434499,0.0009463644400449474,7
720575941550948231,0.1841763942931258,0.011290053435309163,5
720575941526690841,0.1815823605706874,0.0009046801664591897,6
720575941504456386,0.1815823605706874,0.0007661847857371297,7
720575941543397737,0.1815823605706874,0.0012119743240166887,8
720575941438440236,0.1815823605706874,0.01646283086574594,7
720575941489819081,0.18028534370946822,0.0012690875578206954,8
720575941562339079,0.17898832684824903,0.0006542610948672118,7
720575941551598746,0.17509727626459143,0.0011066697961870928,7
720575941534822632,0.17509727626459143,0.021433552615240985,3
720575941567684340,0.17380025940337224,0.0009330937625966269,6
720575941412445332,0.17380025940337224,0.0011335313221387854,7
720575941429532119,0.17380025940337224,0.0007291161037407261,6
720575941567030516,0.17380025940337224,0.03086119468814464,3
720575941580641913,0.17250324254215305,0.0006596170976410613,6
720575941603916222,0.16990920881971464,0.0005579851048232494,6
720575941449258106,0.16861219195849544,0.012385779132183018,4
720575941562134829,0.16861219195849544,0.0006993114995596522,5
720575941530192843,0.16731517509727625,0.011468248057088288,6
720575941663489404,0.16601815823605706,0.004147854488065411,5
720575941623972251,0.16601815823605706,0.01262443945087032,4
720575941470536715,0.16601815823605706,0.0007457172006554526,7
720575941440620123,0.16472114137483787,0.0006981362257345419,4
720575941630936251,0.16472114137483787,0.0007165877613377737,5
720575941527833016,0.16472114137483787,0.0006647090382122708,7
720575941503667109,0.16342412451361868,0.0007554530294676448,7
720575941459883846,0.1621271076523995,0.0007758125952369904,7
720575941551937598,0.16083009079118027,0.0005314453182398362,5
720575941399264291,0.16083009079118027,0.0007098443770943402,4
720575941438951515,0.15953307392996108,0.0006851878726812284,5
720575941489677001,0.15953307392996108,0.0006831712022392594,7
