interneuron_id,neuron_name,cluster,function,is_hub,degree_centrality,betweenness_centrality,n_target_mns,total_synapses,avg_shrec,max_shrec,hub_score,cluster_score,shrec_score_norm,connectivity_score,composite_score,rank
720575941564147346,IN19B043,1,power_control,True,0.35149156939040205,0.010441781495660338,34,900,1.4206216282782969,6.199460916442049,55.09920048900602,100,39.25076670976927,100.0,71.34245182414412,1
720575941669049587,IN19B043,1,power_control,True,0.35149156939040205,0.010441781495660338,32,893,1.5515713935500042,5.8212058212058215,55.09920048900602,100,38.73697047238475,94.11764705882352,70.03753217656269,2
720575941516099500,IN19B043,1,power_control,True,0.3463035019455253,0.01012237534496062,29,646,0.9712119669213785,2.4258760107816713,54.18528373369839,100,18.94876759671056,85.29411764705883,63.051600548698914,3
720575941594160421,IN19B043,1,power_control,True,0.3463035019455253,0.010029843825684746,26,644,0.9442733405678578,2.1627774615822424,54.128939585369054,100,17.571275127410978,76.47058823529412,60.92561830452229,4
720575941554049307,IN19B043,1,power_control,True,0.3411154345006485,0.009745536225229006,25,732,1.0484286066183612,2.11733568592854,53.23639498450747,100,18.273835762778255,73.52941176470588,60.24525978898798,5
720575941518434227,IN19B043,1,power_control,True,0.32814526588845655,0.007994912440858419,23,709,1.2555624769763778,3.118503118503119,50.37184673035967,100,24.419917508805174,67.64705882352942,59.74594516101508,6
720575941402032240,IN19B043,1,power_control,True,0.3372243839169909,0.009241001737349206,23,505,0.9953368854866771,2.142161635832522,52.389606286110215,100,17.92294860215471,67.64705882352942,58.727030801077625,7
720575941515619939,IN19B043,1,power_control,True,0.33981841763942927,0.00859407270195467,22,420,0.9246052873127933,2.4691358024691357,52.35539149757531,100,18.734132814328284,64.70588235294117,58.331327123442904,8
720575941524114276,IN06B013,5,steering_control,True,0.35797665369649806,0.08211280320986335,12,482,0.6945546946534308,0.9589041095890412,99.64028776978418,75,10.175211204155488,35.294117647058826,58.2447126613859,9
720575941562464866,IN11B013,3,power_control,True,0.19844357976653695,0.0013359131265106405,12,351,3.4650838813767533,8.768971332209107,28.33144774791863,100,68.10103306525089,35.294117647058826,57.58351612010007,10
720575941637958687,IN19B067,1,power_control,True,0.32555123216601817,0.00895981549927198,23,550,0.82692409898265,1.259964001028542,50.59968176481795,100,12.629146865726334,67.64705882352942,56.86660301058285,11
720575941511393233,IN06B013,5,steering_control,True,0.36057068741893644,0.08099217173877217,9,391,0.774374312492213,1.0729938038385975,99.31762683328014,75,11.36149312562707,26.47058823529412,56.67977897844963,12
720575941632673516,IN11B013,3,power_control,True,0.2464332036316472,0.003223307107944335,14,453,2.588113745822419,6.2983425414364635,36.13539300495667,100,49.77213730712775,41.17647058823529,56.51894634591599,13
720575941703124698,IN19B040,1,power_control,True,0.3138780804150454,0.007236052829824347,19,305,1.2582682369509512,2.8455284552845526,47.9313458539623,100,23.255687595411086,55.88235294117647,56.36979624327675,14
720575941486089538,IN11B013,3,power_control,True,0.22308690012970167,0.002216304963403423,10,414,3.7239981496293724,7.0588235294117645,32.28480075850775,100,62.8986947367177,29.411764705882355,56.29246685290823,15
720575941505835137,IN11B013,3,power_control,True,0.23476005188067445,0.002574023514056015,15,403,2.574144645065231,6.097560975609756,34.12132721615078,100,48.77786575568953,44.11764705882353,56.25439401553233,16
720575941407795118,IN19B067,1,power_control,True,0.33073929961089493,0.0082556369156864,21,467,0.8613350062694666,1.6176470588235297,50.890318900947776,100,14.482729726653806,61.76470588235294,56.240719278418375,17
720575941484663558,IN19B067,1,power_control,True,0.3125810635538262,0.007658045222037216,23,275,0.6410512330050373,1.2658227848101267,48.00844868783482,100,11.0480517131039,67.64705882352942,55.6939592993323,18
720575941571427323,IN11B013,3,power_control,True,0.20233463035019456,0.0015373439962516598,14,323,2.7910791844333147,6.4449064449064455,28.9936710641281,100,52.164109091475915,41.17647058823529,54.97442270975447,19
720575941477897346,IN19B040,1,power_control,True,0.2853437094682231,0.00544735174623962,18,359,1.2899033835823412,3.3823529411764706,42.88533824889868,100,25.864659818202348,52.94117647058824,54.92000172333783,20
720575941618008447,IN19B067,1,power_control,True,0.31906614785992216,0.007604968985446601,20,431,0.692985327433507,1.1689457432730481,48.875410164210905,100,11.075463938693856,58.82352941176471,54.19619491628968,21
720575941489819081,IN11B013,3,power_control,True,0.18028534370946822,0.0012690875578206954,10,428,3.555418679399112,6.961325966850829,25.772770815397188,100,61.01740713594174,29.411764705882355,53.868535969781064,22
