cluster_id,functional_type,n_interneurons,n_connections,total_synapses,mean_synapses,max_synapses,connections_per_in,synapses_per_in
1,steering_control,335,1775,17446,9.828732394366197,102,5.298507462686567,52.07761194029851
2,steering_control,539,2975,32973,11.083361344537815,208,5.51948051948052,61.17439703153989
3,steering_control,460,2604,23911,9.182411674347158,182,5.660869565217391,51.9804347826087
4,power_control,370,4720,49333,10.451906779661018,96,12.756756756756756,133.33243243243243
5,steering_control,376,2003,21608,10.787818272591114,237,5.327127659574468,57.46808510638298
