dn_group,in_group,numerator_synapses,denominator_input,input_fraction
DNg32,IN11B016,36,1336.0,0.02694610778443114
DNxn125,IN06A094,84,3130.0,0.0268370607028754
DNb01,IN06A082,25,932.0,0.02682403433476395
DNxn151,IN06B055,53,1982.0,0.02674066599394551
DNp18,IN06B055,53,1982.0,0.02674066599394551
DNp13,IN06B083,5,187.0,0.026737967914438502
DNp42,INXXX101,5,187.0,0.026737967914438502
DNxn151,IN08B075,21,786.0,0.026717557251908396
DNge091,IN08B091,66,2471.0,0.026709834075273168
DNp59,IN00A043,15,562.0,0.026690391459074734
DNxn142,IN11A037,43,1613.0,0.026658400495970243
DNge088,INXXX138,13,488.0,0.02663934426229508
DNg08,INXXX138,13,488.0,0.02663934426229508
DNp34,IN12B014,28,1053.0,0.026590693257359924
DNae002,IN07B098,41,1542.0,0.026588845654993514
DNg08,IN07B098,41,1542.0,0.026588845654993514
DNa16,IN06A061,31,1166.0,0.026586620926243566
DNp15,IN06A078,8,301.0,0.026578073089700997
DNb05,IN17A088,3,113.0,0.02654867256637168
DNpe031,IN17A088,3,113.0,0.02654867256637168
DNp19,IN18B020,126,4749.0,0.026531901452937462
DNp31,IN11B002,64,2421.0,0.02643535729037588
DNfl041,IN12A003,30,1135.0,0.02643171806167401
DNg111,IN04B006,62,2348.0,0.026405451448040886
DNut047,IN06A100,8,303.0,0.026402640264026403
DNxn142,IN06A100,8,303.0,0.026402640264026403
DNut042,IN06A083,10,379.0,0.026385224274406333
DNp60,IN17A119,8,304.0,0.02631578947368421
DNxn140,IN19B040,11,418.0,0.02631578947368421
DNp31,IN19B043,131,4987.0,0.026268297573691597
DNa09,IN02A026,29,1106.0,0.026220614828209764
DNg41,IN07B077,20,764.0,0.02617801047120419
DNxn153,IN11A040,4,153.0,0.026143790849673203
DNa09,IN11B023,12,459.0,0.026143790849673203
DNb07,IN01A020,71,2718.0,0.02612214863870493
DNa04,IN07B084,13,498.0,0.02610441767068273
DNg40,IN08B085,7,269.0,0.026022304832713755
DNut062,IN06A047,9,346.0,0.02601156069364162
DNb03,IN06A020,29,1117.0,0.025962399283795883
DNb07,IN06A020,29,1117.0,0.025962399283795883
untyped_720575941606629485,IN12A043,25,963.0,0.02596053997923157
DNp31,IN07B030,29,1118.0,0.0259391771019678
DNg03,IN07B030,29,1118.0,0.0259391771019678
untyped_720575941606629485,IN12A035,40,1543.0,0.02592352559948153
DNg74,IN04B103,14,541.0,0.025878003696857672
DNge076,IN17A007,46,1778.0,0.025871766029246346
DNg06,IN19B088,4,155.0,0.025806451612903226
DNg02,IN19B088,4,155.0,0.025806451612903226
DNg99,IN18B039,40,1551.0,0.025789813023855575
DNa10,IN16B069,20,776.0,0.02577319587628866
DNp38,IN05B032,41,1591.0,0.025769956002514142
DNxn122,IN06A076,17,660.0,0.025757575757575757
DNg01,IN06A082,24,932.0,0.02575107296137339
DNp18,IN03B019,41,1593.0,0.02573760200878845
DNp59,IN06B028,187,7270.0,0.025722145804676754
DNg36,IN11B018,10,389.0,0.02570694087403599
