dn_group,muscle,indirect_fraction
DNp22,hg4,0.0026653632764659604
DNg06,b2,0.0026323872776216934
DNp33,iii4,0.002624476907990944
DNg79,iii4,0.0026044223852783157
DNp13,iii4,0.002589860462707862
DNb07,i1,0.0025741357078669378
DNp31,iii3,0.0025603022153373404
DNxn125,b3,0.002558850991707381
DNg79,hg4,0.002553449575016117
DNg06,hg3,0.0025472601146645717
DNg15,iii1,0.0025470489762503754
DNa04,hg4,0.0025424296492765805
DNpe005,i2,0.0025228589433108546
DNxn163,i2,0.002492655236448661
DNp33,ps1,0.0024877879479378276
DNg01,hg2,0.0024680062645112007
DNa10,iii4,0.002456872977591615
DNxn122,b3,0.0024509081841275846
DNp59,iii1,0.0024508754324161614
DNg06,DVM3A,0.0024486877656723694
DNp60,hg3,0.002443383897412007
DNp31,hg3,0.002432899513926484
DNb03,hg4,0.0023868421595879836
DNp28,b3,0.002376439797192705
DNa09,hg1,0.0023686028565945184
DNp15,iii3,0.0023672618303130703
DNb01,iii3,0.0023431222256661732
DNb07,DVM2A,0.002320148462748163
DNg99,iii3,0.002302745507933796
DNa05,ps1,0.0023011086087650705
DNpe005,hg3,0.0022995342992896154
DNp73,hg1,0.002299188452449171
DNp54,hg3,0.002298004438449141
DNa15,iii4,0.0022963881962133046
DNp18,hg2,0.002289818268680587
DNg06,hg1,0.0022836367265751355
DNae002,i1,0.002282169612558232
DNa04,i2,0.002263279194793969
DNa09,b2,0.0022507387223888098
DNg99,b2,0.00224341848099659
DNp13,iii1,0.0022328558922329626
DNxn183,DVM2A,0.0022323755234801624
DNg27,ps1,0.0022171021171763644
DNae003,hg3,0.0022143246471476325
DNa10,hg2,0.002206085491835894
DNxn155,iii1,0.002192150850939376
DNa09,iii4,0.0021906190823788537
DNa15,b1,0.0021836417258711085
DNa04,b2,0.0021770197220873522
DNa04,iii4,0.0021720332671674196
DNpe053,DVM2A,0.0021698796883207775
DNa15,hg2,0.0021690720992532213
DNp48,DVM3A,0.0021658273385495182
DNg06,i2,0.002163155391527974
