source,target,weight,neuropil,nt_type,target_cluster,target_function
720575941552726407,720575941503451301,26,VNC_IntTct_R,,3,power_control
720575941552726407,720575941608991050,37,VNC_IntTct_R,,3,power_control
720575941552726407,720575941623108298,40,VNC_IntTct_R,,2,power_control
720575941552726407,720575941623108298,37,VNC_WTct_R,,2,power_control
720575941552907838,720575941450532174,25,VNC_LTct_R,,4,power_control
720575941552907838,720575941542469212,26,VNC_LTct_R,,2,power_control
720575941560503155,720575941457147206,27,VNC_IntTct_L,,5,steering_control
720575941560503155,720575941572251144,26,VNC_IntTct_L,,5,steering_control
720575941560503155,720575941723242042,79,VNC_IntTct_L,,5,steering_control
720575941562059176,720575941503451301,27,VNC_IntTct_R,,3,power_control
720575941563218944,720575941608991050,32,VNC_IntTct_R,,3,power_control
720575941566309174,720575941608991050,33,VNC_HTct_R,,3,power_control
720575941566556775,720575941615272601,29,VNC_LTct_L,,4,power_control
720575941568870770,720575941623108298,26,VNC_WTct_R,,2,power_control
720575941573616891,720575941615272601,72,VNC_LTct_L,,4,power_control
720575941574675869,720575941623108298,27,VNC_IntTct_R,,2,power_control
720575941591050494,720575941631436524,31,VNC_NTct_R,,4,power_control
720575941592644054,720575941583601886,31,VNC_IntTct_R,,5,steering_control
720575941593505387,720575941477297716,30,VNC_NTct_L,,5,steering_control
720575941593505387,720575941525725954,45,VNC_NTct_L,,5,steering_control
720575941593505387,720575941579868917,46,VNC_NTct_L,,5,steering_control
720575941594823537,720575941457802480,35,VNC_LTct_L,,5,steering_control
720575941595189029,720575941465484566,28,VNC_HTct_L,,3,power_control
720575941595189029,720575941465484566,49,VNC_IntTct_L,,3,power_control
720575941595189029,720575941572251144,28,VNC_HTct_L,,5,steering_control
720575941595189029,720575941572251144,51,VNC_IntTct_L,,5,steering_control
720575941595542823,720575941457802480,32,VNC_IntTct_R,,5,steering_control
720575941595542823,720575941457802480,52,VNC_LTct_R,,5,steering_control
720575941596602048,720575941608991050,29,VNC_IntTct_R,,3,power_control
720575941598950556,720575941470536715,29,VNC_WTct_L,,5,steering_control
720575941600878377,720575941678358973,30,VNC_HTct_L,,5,steering_control
720575941602114494,720575941400818723,33,VNC_NTct_L,,5,steering_control
720575941602323897,720575941496830370,28,VNC_HTct_R,,5,steering_control
720575941602323897,720575941501721138,38,VNC_HTct_R,,5,steering_control
720575941612044518,720575941465484566,33,VNC_HTct_L,,3,power_control
720575941612044518,720575941550878087,32,VNC_HTct_L,,5,steering_control
720575941612044518,720575941572251144,25,VNC_HTct_L,,5,steering_control
720575941612044518,720575941601088441,35,VNC_HTct_L,,5,steering_control
720575941612044518,720575941611080010,38,VNC_HTct_L,,5,steering_control
720575941612044518,720575941630748859,31,VNC_HTct_L,,3,power_control
720575941612044518,720575941678358973,47,VNC_HTct_L,,5,steering_control
720575941618366079,720575941543397737,27,VNC_WTct_L,,1,power_control
720575941618366079,720575941630748859,29,VNC_HTct_L,,3,power_control
720575941618895231,720575941601088441,30,VNC_HTct_L,,5,steering_control
720575941628867042,720575941528944568,27,VNC_HTct_R,,5,steering_control
720575941631642860,720575941465484566,27,VNC_HTct_L,,3,power_control
720575941631642860,720575941572251144,26,VNC_HTct_L,,5,steering_control
720575941632167611,720575941477297716,41,VNC_NTct_L,,5,steering_control
720575941633206944,720575941615272601,41,VNC_LTct_L,,4,power_control
720575941634269371,720575941630622624,31,VNC_AMNp_L,,5,steering_control
720575941638407199,720575941465484566,32,VNC_HTct_L,,3,power_control
720575941638407199,720575941572251144,70,VNC_HTct_L,,5,steering_control
720575941638407199,720575941572251144,32,VNC_IntTct_L,,5,steering_control
720575941638407199,720575941678358973,31,VNC_HTct_L,,5,steering_control
720575941639588127,720575941503499755,28,VNC_HTct_L,,5,steering_control
720575941639588127,720575941575681718,32,VNC_WTct_L,,5,steering_control
720575941639588127,720575941621630716,26,VNC_HTct_L,,5,steering_control
720575941645444808,720575941456348575,48,VNC_IntTct_R,,5,steering_control
720575941645444808,720575941608991050,39,VNC_HTct_R,,3,power_control
720575941645444808,720575941608991050,31,VNC_IntTct_R,,3,power_control
720575941651815445,720575941457147206,66,VNC_IntTct_L,,5,steering_control
720575941651815445,720575941612053094,33,VNC_HTct_L,,5,steering_control
720575941651815445,720575941723242042,29,VNC_IntTct_L,,5,steering_control
720575941652614129,720575941611080010,41,VNC_HTct_L,,5,steering_control
720575941652614129,720575941678358973,41,VNC_HTct_L,,5,steering_control
720575941652633585,720575941528944568,49,VNC_HTct_R,,5,steering_control
720575941652633585,720575941608991050,29,VNC_HTct_R,,3,power_control
720575941656710736,720575941572251144,28,VNC_IntTct_L,,5,steering_control
720575941681678525,720575941572251144,37,VNC_HTct_L,,5,steering_control
720575941691021720,720575941579868917,39,VNC_NTct_L,,5,steering_control
720575941701235930,720575941465484566,47,VNC_IntTct_L,,3,power_control
720575941701235930,720575941572251144,77,VNC_IntTct_L,,5,steering_control
