source,dn_name,dn_specialization,n_priority_ins,total_synapses,norm_synapses,norm_ins,composite_rank_score
720575941535245034,DNb07,steering_control,5,237,0.9753086419753086,1.0,0.9875771574795099
720575941638407199,DNa15,steering_control,5,229,0.9423868312757202,1.0,0.9707661053393449
720575941450506830,DNp18,steering_control,4,239,0.9835390946502057,0.8,0.8870351039954195
720575941515972698,DNg99,steering_control,4,219,0.9012345679012346,0.8,0.8491099188685689
720575941453030983,DNb07,steering_control,5,174,0.7160493827160493,1.0,0.8461970117626565
720575941552726407,DNg99,steering_control,3,243,1.0,0.6,0.7745966692414834
720575941440280767,DNa15,steering_control,3,223,0.9176954732510288,0.6,0.7420359047584
720575941503549931,DNg71,steering_control,4,150,0.6172839506172839,0.8,0.7027283689263065
720575941652614129,DNae002,steering_control,4,136,0.5596707818930041,0.8,0.6691312468525165
720575941612044518,DNa04,steering_control,4,125,0.51440329218107,0.8,0.6415002990995842
720575941442418639,DNxn142,steering_control,3,162,0.6666666666666666,0.6,0.6324555320336759
720575941563218944,DNxn122,steering_control,3,159,0.654320987654321,0.6,0.6265720968831859
720575941476477492,DNxn122,steering_control,4,116,0.4773662551440329,0.8,0.6179749219144951
720575941527162905,DNb05,power_control,3,154,0.6337448559670782,0.6,0.6166416411338492
720575941595189029,DNp18,steering_control,3,142,0.5843621399176955,0.6,0.592129448643299
720575941478585450,DNp22,steering_control,3,140,0.5761316872427984,0.6,0.5879447357921312
720575941496011719,DNa16,steering_control,2,200,0.823045267489712,0.4,0.573775310549247
720575941540246364,DNxn125,steering_control,3,131,0.5390946502057613,0.6,0.5687326174253212
720575941411441323,DNxn124,steering_control,2,178,0.7325102880658436,0.4,0.5412985453761514
720575941471808375,DNxn125,steering_control,3,118,0.48559670781893005,0.6,0.5397759022884941
720575941602323897,DNa04,steering_control,3,117,0.48148148148148145,0.6,0.5374838498865699
720575941474063968,DNxn163,power_control,2,173,0.7119341563786008,0.4,0.5336418860541593
720575941532728195,DNut040,steering_control,5,69,0.2839506172839506,1.0,0.5328701692569688
720575941504652482,DNxn124,steering_control,2,170,0.6995884773662552,0.4,0.5289946984105814
720575941552603966,DNp19,steering_control,4,76,0.31275720164609055,0.8,0.5002057189965669
720575941438410514,DNb07,steering_control,2,140,0.5761316872427984,0.4,0.4800548665487304
720575941595542823,DNp05,power_control,2,138,0.5679012345679012,0.4,0.4766135686561604
720575941688189935,DNb01,steering_control,3,88,0.36213991769547327,0.6,0.4661372658534007
720575941574675869,DNb07,steering_control,2,131,0.5390946502057613,0.4,0.46436823758985124
720575941392812548,DNp26,steering_control,3,85,0.3497942386831276,0.6,0.4581228472908512
720575941447863316,DNb05,power_control,2,123,0.5061728395061729,0.4,0.44996570514036865
720575941471238263,DNxn102,steering_control,3,82,0.3374485596707819,0.6,0.4499657051403686
720575941414262161,DNxn163,power_control,2,121,0.49794238683127573,0.4,0.4462924542634687
720575941645444808,DNp22,steering_control,2,119,0.4897119341563786,0.4,0.4425887184085824
720575941496919168,DNp57,steering_control,3,78,0.32098765432098764,0.6,0.43885372573625553
720575941701235930,DNxn142,steering_control,2,111,0.4567901234567901,0.4,0.4274529791482521
720575941594823537,DNp05,power_control,2,107,0.4403292181069959,0.4,0.419680458495268
720575941533704067,DNp31,steering_control,4,50,0.205761316872428,0.8,0.40572041296678973
720575941652633585,DNae002,steering_control,2,99,0.4074074074074074,0.4,0.4036867138796656
720575941471955264,DNut040,steering_control,4,49,0.20164609053497942,0.8,0.4016427173844729
720575941566309174,DNp26,steering_control,2,95,0.39094650205761317,0.4,0.39544734266782633
720575941523099127,DNut053,power_control,4,47,0.1934156378600823,0.8,0.3933605347363483
