min_synapses,n_premotor_ins,n_connections,silhouette_score,calinski_harabasz
3,2080,17665,0.3925239094420061,188.92077050822854
10,1255,5044,0.44022095331044603,109.93271138837966
15,954,2920,0.46883500954488366,99.27388353054052
