Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941640887909,T2_MESONM,soma in VNC,GABA,0.98,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,13A,,left,IN13A008,IN13A008,,,,IN
720575941640891493,T2_MESONM,soma in VNC,GABA,0.95,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,13A,,right,IN13A032,IN13A032,,,,IN
720575941640892517,T2_MESONM,soma in VNC,GLUT,0.89,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,21A,,right,IN21A063,IN21A063,,,,IN
720575941640895589,NTCT.HTCT,soma in VNC,ACH,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,12A,,right,IN03B037,IN03B037,,,,IN
720575941640899173,T2_MESONM,soma in VNC,ACH,0.94,acetylcholine,,,gustatory,intrinsic,ventral_nerve_cord_intrinsic,ventral_nerve_cord_centripetal,ventral_nerve_cord_bilateral_restricted,23B,,right,IN23B018,IN23B018,,,,IN
720575941640900453,INTTCT,soma in VNC,GABA,0.97,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06B,,right,IN06B019,IN06B019,,,,IN
720575941640900965,HTCT,soma in VNC,ACH,0.93,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,12A,,left,IN12A063,IN12A063,,,,IN
720575941640909157,HTCT,soma in VNC,ACH,0.81,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,07B,,left,IN07B067,IN07B067,,,,IN
720575941640923237,T1_MVAC,soma in VNC,GABA,0.99,gaba,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,09A,,left,IN09A039,IN09A039,,,,IN
720575941640954981,T2_MESONM,soma in VNC,ACH,0.85,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,04B,,right,IN04B027,IN04B027,,,,IN
720575941640957029,INTTCT.HTCT,soma in VNC,ACH,0.92,acetylcholine,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08B,,left,IN08B087,IN08B087,,,,IN
720575941640982629,ANM,soma in VNC,ACH,0.69,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,01A,,left,IN01A065,IN01A065,,,,IN
720575941641423442,HTCT,soma in VNC,ACH,0.82,acetylcholine,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08B,,left,IN08B070,IN08B070,,,,IN
720575941641473874,HTCT,soma in VNC,GABA,0.97,,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,right,IN03B069,IN03B069,,,,IN
720575941641490258,WTCT,soma in VNC,ACH,0.86,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,17A,,right,dMS2,dMS2,,,,IN
720575941641492818,T2_MESONM,soma in VNC,ACH,0.92,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,20A.22A,,right,IN20A.22A087,IN20A.22A087,,,,IN
720575941641494866,T2_MESONM,"IN13A062,soma in VNC",GABA,0.98,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,13A,,left,IN13A039,IN13A039,,,,IN
