group_id,neuron_1,neuron_2,similarity,group_size
0,720575941390313988,7.205759415515982e+17,0.9577382093984569,2
1,720575941390634134,7.20575941496977e+17,0.9616008046704747,2
2,720575941393490326,7.20575941608862e+17,0.978573579151679,2
3,720575941399253283,7.205759415572941e+17,0.9545582906650443,2
4,720575941402032240,7.205759415941604e+17,0.9780555890389704,2
5,720575941405843759,7.205759416310149e+17,0.9603654139306079,2
6,720575941405868462,7.205759415489239e+17,0.9834969507975847,2
7,720575941405878446,7.205759416234548e+17,0.960965829152138,2
8,720575941405895342,7.205759416864748e+17,0.9915574213744037,2
9,720575941407794862,7.205759415852973e+17,0.973384100148162,2
10,720575941407795118,7.2057594151562e+17,0.9761906737869575,2
11,720575941408442542,7.205759415622099e+17,0.9540710605771241,2
12,720575941408480683,7.205759416233496e+17,0.9643612674743406,2
13,720575941409796975,7.205759415642794e+17,0.9507775422227189,2
14,720575941409918831,7.205759415958971e+17,0.9853004239006452,2
15,720575941410031983,7.205759415620073e+17,0.9667926699829696,2
16,720575941411677073,7.205759414560417e+17,0.9702580562493539,2
17,720575941413308561,7.205759415241875e+17,0.9564125359062502,2
18,720575941413837084,7.205759415339862e+17,0.9664562715371248,2
19,720575941413917724,7.205759416613007e+17,0.9739430036677127,2
20,720575941414253457,7.205759416869635e+17,0.9549476674395033,2
21,720575941414258065,7.205759414838304e+17,0.9513986660930884,2
22,720575941414483348,7.205759414322644e+17,0.9693565963846645,2
23,720575941414919569,7.20575941652544e+17,0.9655994243485727,2
24,720575941425022548,7.20575941585936e+17,0.9548094462717966,2
25,720575941425044820,7.205759415337915e+17,0.9702278563904283,2
26,720575941428263672,7.205759414608963e+17,0.9615276123147241,2
27,720575941428263928,7.205759415129755e+17,0.9828028101802423,2
28,720575941428403081,7.205759415873147e+17,0.9920106113466413,2
29,720575941429231969,7.205759414608963e+17,0.9695177019251173,2
30,720575941430294703,7.205759415645303e+17,0.9603090201628816,2
31,720575941431019105,7.205759416453123e+17,0.9628902393884533,2
32,720575941431155671,7.205759415533897e+17,0.9508265483931252,2
33,720575941431166679,7.205759415614204e+17,0.9546874867400323,2
34,720575941431628129,7.205759416320916e+17,0.9621947351570314,2
35,720575941431789999,7.205759416849283e+17,0.9860042177140722,2
36,720575941431877217,7.205759415127791e+17,0.9932862901989403,2
37,720575941431930721,7.205759414436369e+17,0.9537873591645215,2
38,720575941433406752,7.205759414387483e+17,0.9599496052808584,2
39,720575941435725100,7.20575941552621e+17,0.9592359471896993,2
40,720575941435780114,7.205759416562528e+17,0.9529645532227513,2
41,720575941436692543,7.20575941506217e+17,0.9507090889869427,2
42,720575941436693536,7.205759414843794e+17,0.957893918829532,2
43,720575941436828639,7.205759415741903e+17,0.9567468873238633,2
44,720575941436862527,7.205759414530792e+17,0.9790940959064282,2
45,720575941437520607,7.205759415720941e+17,0.9614009783597083,2
46,720575941437526869,7.205759415931895e+17,0.9771005204204439,2
47,720575941437603669,7.205759415516328e+17,0.9623715679564039,2
48,720575941438373420,7.205759414478098e+17,0.9840180418796491,2
49,720575941438414610,7.205759416426921e+17,0.9598285326466076,2
50,720575941438421292,7.205759416233292e+17,0.9715788824534436,2
51,720575941438456594,7.205759414403419e+17,0.9680308553195218,2
52,720575941438631871,7.205759414689505e+17,0.9718631961839258,2
53,720575941438710719,7.205759414923542e+17,0.9531630426682374,2
54,720575941438729919,7.205759416056027e+17,0.9579780041490813,2
55,720575941438935131,7.205759414334067e+17,0.9560791178949117,2
56,720575941439120591,7.205759415397206e+17,0.9689190217722551,2
57,720575941441245631,7.205759414956627e+17,0.9573699091312682,2
58,720575941441276607,7.205759415240403e+17,0.9618299806208603,2
59,720575941441573467,7.205759415619635e+17,0.9865002058521807,2
60,720575941443858602,7.205759415132306e+17,0.9691357579835133,2
61,720575941445229332,7.205759414963502e+17,0.9571031741481382,2
62,720575941445311658,7.205759414376037e+17,0.9588542996163683,2
63,720575941445843476,7.205759415335944e+17,0.963718394903329,2
64,720575941445843732,7.20575941477333e+17,0.9760487968678273,2
65,720575941447423837,7.205759415009951e+17,0.9602776372552396,2
66,720575941447776020,7.205759415083059e+17,0.9559328142219123,2
67,720575941447842894,7.20575941513207e+17,0.9816156480593525,2
68,720575941448323509,7.205759416101165e+17,0.9697098790426053,2
69,720575941449276538,7.205759416233619e+17,0.9562156831399955,2
70,720575941449454414,7.205759415899729e+17,0.988041349120676,2
71,720575941449752910,7.205759415527996e+17,0.9766183668269731,2
72,720575941450101319,7.205759414743314e+17,0.9866505140254304,2
73,720575941450477225,7.205759415018486e+17,0.9622392834598129,2
74,720575941451701831,7.205759415535373e+17,0.964274323793207,2
75,720575941452198707,7.205759414793693e+17,0.9838420511816108,2
76,720575941452199475,7.205759414521987e+17,0.9814899243672427,2
77,720575941453578409,7.20575941447843e+17,0.9654644931853102,2
78,720575941453919539,7.205759415241896e+17,0.961966949193972,2
79,720575941453936365,7.205759416686194e+17,0.9588248446109943,2
80,720575941456024304,7.205759415125265e+17,0.9875336930610751,2
81,720575941456063472,7.205759415114171e+17,0.9949675939685274,2
82,720575941456262559,7.205759415615538e+17,0.9759761222632495,2
83,720575941456315039,7.205759416228982e+17,0.952526327234594,2
84,720575941456317087,7.20575941661314e+17,0.9761462075250026,2
85,720575941456340895,7.205759415534792e+17,0.9600157538865544,2
86,720575941456660717,7.205759415728721e+17,0.9586610911126805,2
87,720575941457073478,7.205759414887329e+17,0.9607448101426542,2
88,720575941457430431,7.205759416879713e+17,0.9887747557234676,2
89,720575941457499039,7.205759415215871e+17,0.9772253935697742,2
90,720575941457979039,7.205759415168421e+17,0.9631344675663565,2
