neuron_id,similarity,neuron_id_name
720575941392876548,0.44772154,CB1791
720575941414387601,0.31493446,PS208b
720575941409016235,0.22811976,IN19B075
720575941408833839,0.22329699,CB1420
720575941411316139,0.22001803,PS231
720575941413654417,0.2193915,CB1270
720575941350374960,0.18048026,IN08A011
720575941412445332,0.17831875,IN03B065
720575941408509867,0.17328255,IN18B034
720575941392390916,0.16875985,PS209
720575941393245956,0.1670217,PVLP128
720575941399264291,0.16586664,IN03B089
720575941399251235,0.16271478,IN12A062
720575941404872048,0.15851443,WED075
720575941413872924,0.1577856,IN11B004
720575941413252241,0.15622322,IN12A061
720575941414341521,0.15017146,DNxn102
720575941390660502,0.14167061,IN03B090
720575941402032240,0.13495554,IN19B043
720575941411438763,0.13126484,CB0567
