muscle_type,n_muscles,mean_direct_total_fraction,mean_indirect_total_fraction,mean_direct_share,median_direct_share
power,5,0.07192894363761246,0.12809089559578685,0.35821639950693035,0.3576442870552116
steering,13,0.08381818069728066,0.14042637196303806,0.33588074621114433,0.334397009917653
