Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941626256266,GNG.T1_PRONM,"CNS neuron,DNxl115,soma in brain",GABA,0.9,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNxl115,"DNge131,DNxl115",,,,DN
720575941626282634,GNG,"CNS neuron,DNxl072,soma in brain",GLUT,0.91,,,,,intrinsic,descending,descending_neuron,,MX12__prim,,right,DNxl072,"DNge034,DNxl072",,,,DN
720575941626299530,GNG.NTCT,soma in brain,GABA,0.99,,,,,intrinsic,descending,descending_neuron,,LB6,,right,DNg10,DNg10,,,,DN
720575941626302858,T1_PRONM,"CNS neuron,DNg12,soma in brain",ACH,0.9,,,,,intrinsic,descending,descending_neuron,,MX12,,left,DNg12,"DNg12,DNg12_e,MX12_L_18",,,,DN
720575941626337162,GNG,"CNS neuron,soma in brain",GABA,0.92,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNg103,DNg103,,,,DN
720575941626500746,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.94,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNg100,"BDN2,DNg100",,,,DN
720575941626530442,ICL.FLA,"CNS neuron,DNxn134,soma in brain",ACH,0.73,,,,,intrinsic,descending,descending_neuron,,PSp2,,left,DNxn134,"DNp104,DNxn134",,,,DN
720575941626745452,SLP.ANM,"CNS neuron,oviDN,soma in brain",GABA,0.75,,,,,intrinsic,descending,descending_neuron,,SMPpv1,,left,oviDN,"DNpe046,oviDN,oviDNv",,,,DN
720575941626967865,SAD.INTTCT,"CNS neuron,soma in brain",ACH,0.94,,,,,intrinsic,descending,descending_neuron,,LB7,,right,DNge091,DNge091,,,,DN
720575941627484454,AMMC.GNG,"CNS neuron,soma in brain",ACH,0.86,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNge145,DNge145,,,,DN
720575941627576377,GNG.NTCT,"CNS neuron,soma in brain",GABA,0.98,,,,,intrinsic,descending,descending_neuron,,LB6,,right,DNge085,DNge085,,,,DN
720575941628153913,IPS.AMNP,"CNS neuron,soma in brain",ACH,0.86,,,,,intrinsic,descending,descending_neuron,,MX3,,left,DNge140,DNge140,,,,DN
720575941628167225,IPS.WTCT,"CNS neuron,DNg03,soma in brain",ACH,0.86,acetylcholine,,,,intrinsic,descending,descending_neuron,,LB12,,left,DNg03,"DNg02_b,DNg03",,,,DN
720575941628231138,GNG,"CNS neuron,soma in brain",GABA,0.91,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNg52,DNg52,,,,DN
720575941628237625,GNG.T1_PRONM,"CNS neuron,DNxl111,soma in brain",GLUT,0.93,,,,,intrinsic,descending,descending_neuron,,MD3,,right,DNxl111,"DNge040,DNxl111",,,,DN
720575941628262969,GNG,"CNS neuron,soma in brain",GABA,0.85,,,,,intrinsic,descending,descending_neuron,,MD3,,right,DNge096,DNge096,,,,DN
720575941628349990,GNG,"CNS neuron,DNxn139,soma in brain",GLUT,0.92,,,,,intrinsic,descending,descending_neuron,,MX12__prim,,right,DNxn139,"DNge029,DNxn139",,,,DN
720575941628710694,GNG.IPS,"CNS neuron,soma in brain",ACH,0.86,,,,,intrinsic,descending,descending_neuron,,LB7,,right,DNge116,DNge116,,,,DN
720575941628867042,IPS.HTCT,"CNS neuron,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,LB12,,right,DNg04,DNg04,,,,DN
720575941629386732,GNG.NTCT,"CNS neuron,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,MX12,,left,DNg12,"DNg12,DNg12_a,MX12_L_41",,,,DN
720575941629726246,SPS.INTTCT,"CNS neuron,soma in brain",ACH,0.92,acetylcholine,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNp07,DNp07,,,,DN
720575941629872422,SPS.INTTCT,"CNS neuron,DNut037,soma in brain",ACH,0.89,,,,,intrinsic,descending,descending_neuron,,WEDd1,,right,DNut037,"DNae004,DNut037",,,,DN
720575941630049762,GNG.INTTCT,"CNS neuron,DNut054,soma in brain",ACH,0.96,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNut054,"DNge095,DNut054",,,,DN
720575941630081574,IPS.NTCT,soma in brain,ACH,0.89,,,,,intrinsic,descending,descending_neuron,,PSp2,,left,DNp17,DNp17,,,,DN
720575941630522850,GNG.T1_PRONM,"CNS neuron,DNg64,soma in brain",GLUT,0.96,,,,,intrinsic,descending,descending_neuron,,MX12__prim,,left,DNg64,"DNg64,DNge069",,,,DN
720575941630646432,GNG,"CNS neuron,DNfl003_CvC_L,soma in brain",ACH,0.78,,,,,intrinsic,descending,descending_neuron,,,,left,DNfl003_CvC,"DNfl003_CvC,MX12_L_31",,,,DN
720575941631013090,GNG.T3_METANM,"CNS neuron,DNxl134,soma in brain",ACH,0.92,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNxl134,"DNge035,DNxl134",,,,DN
720575941631020192,GNG.IPS,"CNS neuron,DNnt010,soma in brain",GABA,0.97,,,,,intrinsic,descending,descending_neuron,,LB6,,left,DNnt010,"DNge087,DNnt010",,,,DN
720575941631028962,GNG.T1_PRONM,"CNS neuron,soma in brain",GABA,0.97,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNge063,DNge063,,,,DN
720575941631060972,GNG.T1_PRONM,"CNS neuron,soma in brain",GABA,0.63,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNg65,DNg65,,,,DN
720575941631315616,GNG.T1_PRONM,"CNS neuron,DNxl093,soma in brain",GABA,0.95,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNxl093,"DNge0128,DNge128,DNxl093",,,,DN
720575941631642860,SPS.HTCT,"CNS neuron,DNut037,soma in brain",ACH,0.85,,,,,intrinsic,descending,descending_neuron,,WEDd1,,left,DNut037,"DNae004,DNut037",,,,DN
720575941632002720,SPS.NTCT,"CNS neuron,soma in brain",ACH,0.92,acetylcholine,,,,intrinsic,descending,descending_neuron,,LB12,,left,DNg02,"DNg02,DNg02_a",,,,DN
720575941632059372,GNG.NTCT,"CNS neuron,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNge006,DNge006,,,,DN
720575941632167611,GNG.NTCT,"CNS neuron,soma in brain",ACH,0.86,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNg73,DNg73,,,,DN
720575941632594592,SPS.WTCT,"CNS neuron,soma in brain",ACH,0.95,,,,,intrinsic,descending,descending_neuron,,WEDd1,,right,DNa07,DNa07,,,,DN
720575941632652987,GNG.T2_MESONM,"CNS neuron,DNxl107,soma in brain",GLUT,0.95,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNxl107,"DNge060,DNxl107",,,,DN
720575941632799392,NO_CONS.NTCT,"CNS neuron,DNnt011,soma in brain",GABA,0.99,,,,,intrinsic,descending,descending_neuron,,LB6,,left,DNnt011,"DNge085,DNnt011",,,,DN
720575941632978629,IB.WTCT,"CNS neuron,soma in brain",ACH,0.94,acetylcholine,,,,intrinsic,descending,descending_neuron,,LB12,,right,DNg02,"DNg02,DNg02_g",,,,DN
720575941633124549,GNG,"CNS neuron,DNxn157,soma in brain",GLUT,0.95,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNxn157,"DNge119,DNxn157",,,,DN
720575941633206944,AVLP.LTCT,"CNS neuron,soma in brain",ACH,0.8,acetylcholine,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNp103,DNp103,,,,DN
720575941633602501,SLP.FLA,soma in brain,GABA,0.93,"acetylcholine,gaba",,,,intrinsic,descending,descending_neuron,,DM2_central,,right,DNp25,DNp25,,,,DN
720575941633779387,AVLP.INTTCT,"CNS neuron,soma in brain",ACH,0.94,acetylcholine,,,,intrinsic,descending,descending_neuron,,SMPpv2_ventral,,left,DNp09,DNp09,,,,DN
720575941633833403,SAD.IPS,"CNS neuron,soma in brain",ACH,0.86,,,,,intrinsic,descending,descending_neuron,,LB7,,right,DNge091,DNge091,,,,DN
720575941633911227,SPS.INTTCT,"CNS neuron,soma in brain",ACH,0.89,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNpe004,DNpe004,,,,DN
720575941634017723,SPS.ANM,soma in brain,ACH,0.88,,,,,intrinsic,descending,descending_neuron,,PSp2,,right,DNpe018,DNpe018,,,,DN
720575941634269371,GNG,soma in brain,GABA,0.92,,,,,intrinsic,descending,descending_neuron,,MD3,,right,DNg59,DNg59,,,,DN
720575941637734175,IPS.HTCT,"CNS neuron,soma in brain",ACH,0.97,,,,,intrinsic,descending,descending_neuron,,LB12,,right,DNg06,DNg06,,,,DN
720575941637800309,IPS.HTCT,"CNS neuron,DNut046,soma in brain",ACH,0.81,,,,,intrinsic,descending,descending_neuron,,PSp2,,right,DNut046,"DNpe054,DNut046",,,,DN
720575941638407199,SPS.HTCT,"CNS neuron,DNa05,soma in brain",ACH,0.87,,,,,intrinsic,descending,descending_neuron,,WEDd1,,left,DNa15,DNa15,,,,DN
720575941639588127,WED.HTCT,"CNS neuron,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNp33,DNp33,,,,DN
720575941639763999,SAD.IPS,"CNS neuron,DNut042,soma in brain",ACH,0.92,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNg51,DNg51,,,,DN
720575941639802655,IPS.INTTCT,"CNS neuron,soma in brain",GABA,0.98,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNg08,"DNg08,DNg08_a",,,,DN
