group_id,group_size,target_mn,groupwise_synapses,group_neurons
271.0,2.0,720575941507955269,60,"[7.205759415325075e+17, 7.205759414387299e+17]"
271.0,2.0,720575941519783640,83,"[7.205759415325075e+17, 7.205759414387299e+17]"
271.0,2.0,720575941534583786,135,"[7.205759415325075e+17, 7.205759414387299e+17]"
271.0,2.0,720575941640465439,59,"[7.205759415325075e+17, 7.205759414387299e+17]"
273.0,2.0,720575941513173763,79,"[7.205759415332219e+17, 7.205759416671436e+17]"
273.0,2.0,720575941580669817,107,"[7.205759415332219e+17, 7.205759416671436e+17]"
274.0,2.0,720575941479034563,61,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941507955269,89,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941519783640,63,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941533190337,72,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941534583786,78,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941583644382,63,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941596050112,85,"[7.20575941533235e+17, 7.205759416525366e+17]"
274.0,2.0,720575941645403000,55,"[7.20575941533235e+17, 7.205759416525366e+17]"
280.0,2.0,720575941580669817,121,"[7.205759415347264e+17, 7.205759415718964e+17]"
281.0,2.0,720575941521196211,88,"[7.205759415348227e+17, 7.205759414690458e+17]"
281.0,2.0,720575941624155644,71,"[7.205759415348227e+17, 7.205759414690458e+17]"
282.0,2.0,720575941468897856,72,"[7.205759415348431e+17, 7.205759415337807e+17]"
282.0,2.0,720575941475745898,74,"[7.205759415348431e+17, 7.205759415337807e+17]"
295.0,2.0,720575941463144336,104,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941479034563,106,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941507955269,73,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941519783640,54,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941533190337,127,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941534583786,78,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941583644382,139,"[7.205759415375946e+17, 7.2057594161492e+17]"
295.0,2.0,720575941596050112,181,"[7.205759415375946e+17, 7.2057594161492e+17]"
302.0,2.0,720575941507955269,68,"[7.205759415433978e+17, 7.205759416148168e+17]"
302.0,2.0,720575941519783640,57,"[7.205759415433978e+17, 7.205759416148168e+17]"
302.0,2.0,720575941534583786,131,"[7.205759415433978e+17, 7.205759416148168e+17]"
302.0,2.0,720575941640465439,83,"[7.205759415433978e+17, 7.205759416148168e+17]"
302.0,2.0,720575941645403000,96,"[7.205759415433978e+17, 7.205759416148168e+17]"
309.0,2.0,720575941542412805,126,"[7.205759415464916e+17, 7.205759416596961e+17]"
309.0,2.0,720575941547315060,90,"[7.205759415464916e+17, 7.205759416596961e+17]"
317.0,2.0,720575941507955269,95,"[7.205759415515987e+17, 7.205759415433978e+17]"
317.0,2.0,720575941519783640,75,"[7.205759415515987e+17, 7.205759415433978e+17]"
317.0,2.0,720575941534583786,154,"[7.205759415515987e+17, 7.205759415433978e+17]"
317.0,2.0,720575941640465439,94,"[7.205759415515987e+17, 7.205759415433978e+17]"
317.0,2.0,720575941645403000,116,"[7.205759415515987e+17, 7.205759415433978e+17]"
318.0,2.0,720575941463144336,56,"[7.205759415519375e+17, 7.205759416425306e+17]"
318.0,2.0,720575941479034563,106,"[7.205759415519375e+17, 7.205759416425306e+17]"
318.0,2.0,720575941533190337,78,"[7.205759415519375e+17, 7.205759416425306e+17]"
318.0,2.0,720575941596050112,93,"[7.205759415519375e+17, 7.205759416425306e+17]"
318.0,2.0,720575941645403000,60,"[7.205759415519375e+17, 7.205759416425306e+17]"
324.0,2.0,720575941645041313,59,"[7.205759415534304e+17, 7.205759415632064e+17]"
328.0,2.0,720575941643100754,134,"[7.205759415562515e+17, 7.205759414682459e+17]"
336.0,2.0,720575941534583786,57,"[7.205759415600909e+17, 7.20575941612612e+17]"
336.0,2.0,720575941596050112,79,"[7.205759415600909e+17, 7.20575941612612e+17]"
339.0,2.0,720575941456201887,115,"[7.205759415606327e+17, 7.205759415917486e+17]"
339.0,2.0,720575941459347411,51,"[7.205759415606327e+17, 7.205759415917486e+17]"
343.0,2.0,720575941542328837,63,"[7.205759415624649e+17, 7.205759415714273e+17]"
343.0,2.0,720575941560383347,111,"[7.205759415624649e+17, 7.205759415714273e+17]"
343.0,2.0,720575941565105206,155,"[7.205759415624649e+17, 7.205759415714273e+17]"
343.0,2.0,720575941566847847,159,"[7.205759415624649e+17, 7.205759415714273e+17]"
343.0,2.0,720575941590220684,69,"[7.205759415624649e+17, 7.205759415714273e+17]"
343.0,2.0,720575941614289683,107,"[7.205759415624649e+17, 7.205759415714273e+17]"
344.0,2.0,720575941507955269,68,"[7.205759415638724e+17, 7.205759416012667e+17]"
344.0,2.0,720575941534583786,60,"[7.205759415638724e+17, 7.205759416012667e+17]"
344.0,2.0,720575941640465439,50,"[7.205759415638724e+17, 7.205759416012667e+17]"
344.0,2.0,720575941645403000,66,"[7.205759415638724e+17, 7.205759416012667e+17]"
346.0,2.0,720575941645041313,87,"[7.205759415640986e+17, 7.205759415714232e+17]"
347.0,2.0,720575941463144336,136,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941472734048,57,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941479034563,140,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941507955269,138,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941519783640,110,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941533190337,141,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941534583786,113,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941566847847,79,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941583644382,99,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941596050112,137,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941603635190,60,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941640465439,118,"[7.205759415641473e+17, 7.205759414077951e+17]"
347.0,2.0,720575941645403000,146,"[7.205759415641473e+17, 7.205759414077951e+17]"
349.0,2.0,720575941549822781,180,"[7.205759415671235e+17, 7.205759416365354e+17]"
349.0,2.0,720575941655597785,152,"[7.205759415671235e+17, 7.205759416365354e+17]"
352.0,2.0,720575941463144336,79,"[7.205759415715151e+17, 7.205759415308617e+17]"
352.0,2.0,720575941479034563,67,"[7.205759415715151e+17, 7.205759415308617e+17]"
352.0,2.0,720575941533190337,81,"[7.205759415715151e+17, 7.205759415308617e+17]"
352.0,2.0,720575941583644382,62,"[7.205759415715151e+17, 7.205759415308617e+17]"
352.0,2.0,720575941596050112,50,"[7.205759415715151e+17, 7.205759415308617e+17]"
354.0,2.0,720575941475745898,66,"[7.20575941571847e+17, 7.205759415257824e+17]"
357.0,2.0,720575941534583786,84,"[7.205759415732046e+17, 7.20575941652192e+17]"
361.0,2.0,720575941468897856,102,"[7.205759415755194e+17, 7.20575941628691e+17]"
361.0,2.0,720575941475745898,74,"[7.205759415755194e+17, 7.20575941628691e+17]"
369.0,2.0,720575941468288375,98,"[7.205759415816485e+17, 7.205759415880954e+17]"
369.0,2.0,720575941513173763,193,"[7.205759415816485e+17, 7.205759415880954e+17]"
