source,target,weight,neuropil,nt_type,dn_name,in_name,in_rank,in_score,in_cluster,dn_specialization
720575941442418639,720575941532246762,25,VNC_IntTct_R,,DNxn142,720575941532246762,36,37.60221501644136,5,steering_control
720575941442418639,720575941557612915,21,VNC_HTct_R,,DNxn142,720575941557612915,11,45.47062630877588,1,steering_control
720575941442418639,720575941557612915,81,VNC_IntTct_R,,DNxn142,720575941557612915,11,45.47062630877588,1,steering_control
720575941442418639,720575941608991050,11,VNC_HTct_R,,DNxn142,720575941608991050,22,42.72906772882216,1,steering_control
720575941442418639,720575941608991050,24,VNC_IntTct_R,,DNxn142,720575941608991050,22,42.72906772882216,1,steering_control
720575941447838996,720575941608991050,14,VNC_IntTct_R,,DNp72,720575941608991050,22,42.72906772882216,1,steering_control
720575941447863316,720575941457802480,59,VNC_IntTct_R,,DNb05,720575941457802480,6,48.06843106807939,2,power_control
720575941447863316,720575941457802480,43,VNC_LTct_R,,DNb05,720575941457802480,6,48.06843106807939,2,power_control
720575941447863316,720575941474741819,21,VNC_LTct_R,,DNb05,720575941474741819,14,45.09030416514421,2,power_control
720575941450506830,720575941532246762,10,VNC_HTct_R,,DNp18,720575941532246762,36,37.60221501644136,5,steering_control
720575941450506830,720575941532246762,40,VNC_IntTct_R,,DNp18,720575941532246762,36,37.60221501644136,5,steering_control
720575941450506830,720575941557612915,43,VNC_HTct_R,,DNp18,720575941557612915,11,45.47062630877588,1,steering_control
720575941450506830,720575941557612915,64,VNC_IntTct_R,,DNp18,720575941557612915,11,45.47062630877588,1,steering_control
720575941450506830,720575941608991050,24,VNC_HTct_R,,DNp18,720575941608991050,22,42.72906772882216,1,steering_control
720575941450506830,720575941608991050,44,VNC_IntTct_R,,DNp18,720575941608991050,22,42.72906772882216,1,steering_control
720575941450506830,720575941623108298,14,VNC_WTct_R,,DNp18,720575941623108298,1,61.48917156774057,3,steering_control
720575941453030983,720575941473850720,34,VNC_IntTct_L,,DNb07,720575941473850720,49,36.094129825843325,5,steering_control
720575941453030983,720575941532246762,51,VNC_IntTct_R,,DNb07,720575941532246762,36,37.60221501644136,5,steering_control
720575941453030983,720575941557612915,27,VNC_HTct_R,,DNb07,720575941557612915,11,45.47062630877588,1,steering_control
720575941453030983,720575941557612915,24,VNC_IntTct_R,,DNb07,720575941557612915,11,45.47062630877588,1,steering_control
