neuron_id,similarity,neuron_id_name
720575941352987696,0.28341535,SApp17
720575941413255569,0.28125468,IN08B088
720575941394069654,0.26715842,IN12A054
720575941411791764,0.26533,IN06A008
720575941402058608,0.2534693,IN00A040
720575941401776931,0.22123843,IN12A015
720575941404162160,0.20761043,CB2872
720575941413043311,0.20445578,CB1854
720575941401316387,0.18596716,PS220
720575941390136324,0.17119074,IN08B093
720575941413566748,0.16567074,AN19B059
720575941413700241,0.14633498,SAD007
720575941412028049,0.1391141,CB0981
720575941405833263,0.12753557,IN16B051
720575941405864622,0.1246741,SApp17
720575941408509867,0.113616526,IN18B034
720575941411344043,0.09012408,AN18B032
720575941407841071,0.09003557,DNp07
720575941390684310,0.08861138,dMS2
720575941408056879,0.08470567,LAL094
