dn_group,muscle,numerator_synapses,denominator_input,input_fraction
DNg93,DVM3A,9,3075,0.002926829268292683
DNa02,hg1,33,11512,0.0028665740097289782
DNg05,hg1,33,11512,0.0028665740097289782
DNa16,hg1,33,11512,0.0028665740097289782
DNg05,hg4,32,11215,0.0028533214444939814
DNut054,iii3,10,3518,0.0028425241614553724
DNa05,hg1,32,11512,0.002779708130646282
DNa07,hg2,10,3603,0.002775464890369137
DNp18,hg1,31,11512,0.002692842251563586
DNg92,hg4,30,11215,0.0026749888542131075
DNg17,DVM2A,6,2270,0.0026431718061674008
DNpe053,DVM2A,6,2270,0.0026431718061674008
DNpe005,DVM2A,6,2270,0.0026431718061674008
DNae002,hg1,30,11512,0.0026059763724808893
DNb01,hg3,19,7292,0.002605595172792101
DNxn113,DVM3A,8,3075,0.0026016260162601626
DNxl130,DVM1A,27,10428,0.002589182968929804
DNb01,hg1,29,11512,0.002519110493398193
DNp51,hg2,9,3603,0.002497918401332223
DNb06,hg4,28,11215,0.0024966562639322336
DNp33,i1,26,10448,0.0024885145482388973
DNp18,b2,32,12969,0.002467422314750559
DNg82,b2,32,12969,0.002467422314750559
DNg82,hg1,28,11512,0.002432244614315497
DNp26,hg1,28,11512,0.002432244614315497
DNa08,DVM1A,25,10428,0.002397391637897967
DNp13,iii4,28,12155,0.0023035787741670093
DNp03,i1,24,10448,0.002297090352220521
DNp73,i1,24,10448,0.002297090352220521
DNpe053,DVM3A,7,3075,0.0022764227642276423
DNge038,DVM3A,7,3075,0.0022764227642276423
DNut047,b3,19,8553,0.002221442768619198
DNxn118,hg2,8,3603,0.0022203719122953097
DNxn163,iii1,17,7890,0.0021546261089987325
DNut040,DLM5,23,10854,0.002119034457342915
DNut040,DLM1,75,35422,0.002117328214104229
DNp22,i2,29,14380,0.0020166898470097357
DNxn177,DVM1A,21,10428,0.0020138089758342925
DNa09,b3,17,8553,0.001987606687711914
DNg04,iii4,24,12155,0.001974496092143151
DNa04,iii4,24,12155,0.001974496092143151
untyped_720575941434874912,ps1,30,15287,0.0019624517563943218
DNa08,DVM3A,6,3075,0.001951219512195122
DNp18,hg2,7,3603,0.0019428254232583958
DNb05,hg2,7,3603,0.0019428254232583958
DNxl082,iii4,23,12155,0.0018922254216371863
DNp19,i2,27,14380,0.0018776077885952712
