neuron_id,neuron_name,n_queries,mean_similarity
720575941410021231,IN11B022,2,0.27497804
720575941410019695,IN11B022,2,0.26242512
720575941413920540,IN11B017,2,0.25798994
720575941428495535,SApp10,2,0.15238583
720575941401776931,IN12A015,2,0.14448465
720575941402058608,IN00A040,2,0.14289917
720575941392876548,CB1791,2,0.1415702
720575941413252241,IN12A061,2,0.12179889
720575941392390916,PS209,2,0.1153883
