dn_group,muscle,numerator_synapses,denominator_output,output_fraction
DNxn125,b1,148,3063.0,0.04831864185439112
DNg92,hg4,30,630.0,0.047619047619047616
DNa08,DLM5,35,744.0,0.04704301075268817
DNpe053,DVM1A,46,997.0,0.04613841524573721
DNge110,b2,14,306.0,0.0457516339869281
DNxn124,i2,190,4217.0,0.04505572682001423
DNg82,DLM5,68,1511.0,0.04500330906684315
DNxn007,hg1,49,1089.0,0.04499540863177227
DNge150,ps1,3,67.0,0.04477611940298507
DNg05,hg2,92,2096.0,0.04389312977099236
DNpe005,hg2,101,2309.0,0.04374187960155912
DNxn125,b2,132,3063.0,0.043095004897159644
DNg10,hg4,105,2498.0,0.042033626901521216
DNp03,ps1,52,1243.0,0.0418342719227675
DNge071,b3,14,341.0,0.04105571847507331
DNge038,DLM1,23,565.0,0.04070796460176991
DNge148,DVM3A,69,1715.0,0.0402332361516035
DNg92,hg2,25,630.0,0.03968253968253968
DNxn136,b3,12,303.0,0.039603960396039604
DNp60,hg3,25,645.0,0.03875968992248062
DNge071,hg4,13,341.0,0.03812316715542522
DNut053,hg3,35,920.0,0.03804347826086957
DNp31,DVM1A,176,4725.0,0.037248677248677246
DNge015,DLM5,3,81.0,0.037037037037037035
DNa05,i1,100,2830.0,0.0353356890459364
DNp51,b3,41,1172.0,0.03498293515358362
DNut040,hg3,111,3173.0,0.03498266624645446
DNp03,b3,43,1243.0,0.03459372485921158
DNa07,hg2,10,293.0,0.034129692832764506
DNge175,DLM1,17,503.0,0.033797216699801194
DNa08,DVM2A,25,744.0,0.033602150537634407
DNa08,DVM1A,25,744.0,0.033602150537634407
DNxn109,hg4,20,597.0,0.03350083752093802
DNge154,i2,5,152.0,0.03289473684210526
DNp05,iii1,51,1555.0,0.03279742765273312
DNa16,hg4,112,3448.0,0.03248259860788863
DNp03,DLM5,40,1243.0,0.032180209171359615
DNxn113,DVM3A,8,249.0,0.0321285140562249
DNp57,hg2,40,1267.0,0.03157063930544594
DNp31,DLM5,148,4725.0,0.03132275132275132
DNae002,b3,80,2574.0,0.03108003108003108
DNa07,i1,9,293.0,0.030716723549488054
DNut047,b3,19,634.0,0.02996845425867508
DNge175,b2,15,503.0,0.02982107355864811
DNge110,i2,9,306.0,0.029411764705882353
DNp63,hg1,36,1237.0,0.02910266774454325
DNa04,i1,95,3294.0,0.028840315725561626
DNp33,i2,61,2152.0,0.028345724907063198
DNa04,b3,91,3294.0,0.027625986642380085
DNp26,hg2,47,1702.0,0.027614571092831962
DNxn122,hg2,57,2069.0,0.027549540840985983
DNa15,b3,108,3921.0,0.02754399387911247
DNp28,i1,40,1494.0,0.02677376171352075
DNge090,b2,13,498.0,0.02610441767068273
DNut040,b2,82,3173.0,0.025843050740624016
DNa10,b3,80,3162.0,0.02530044275774826
DNut040,hg1,78,3173.0,0.02458241411913016
DNge014,DLM1,8,331.0,0.02416918429003021
DNp33,iii4,52,2152.0,0.024163568773234202
DNg05,DLM1,50,2096.0,0.02385496183206107
DNxn118,hg1,19,797.0,0.02383939774153074
DNut040,DLM1,75,3173.0,0.02363693665300977
DNg08,i2,62,2684.0,0.023099850968703428
DNxn007,hg2,25,1089.0,0.02295684113865932
DNxn102,DLM1,53,2345.0,0.022601279317697228
DNp33,hg1,48,2152.0,0.022304832713754646
DNg76,hg4,19,878.0,0.02164009111617312
DNg51,b3,15,701.0,0.021398002853067047
DNp33,DVM1A,46,2152.0,0.02137546468401487
DNge095,b2,10,472.0,0.0211864406779661
DNg82,b2,32,1511.0,0.021178027796161483
DNp26,i1,36,1702.0,0.021151586368977675
DNg91,b3,30,1459.0,0.0205620287868403
DNut054,b2,17,828.0,0.020531400966183576
DNb01,i1,45,2226.0,0.02021563342318059
DNp03,hg2,25,1243.0,0.02011263073209976
DNge154,iii4,3,152.0,0.019736842105263157
DNge154,hg1,3,152.0,0.019736842105263157
DNge038,DVM1A,11,565.0,0.019469026548672566
DNge118,b2,8,411.0,0.019464720194647202
DNg110,DVM1A,18,925.0,0.01945945945945946
DNp03,i1,24,1243.0,0.019308125502815767
DNg09,b3,8,415.0,0.01927710843373494
DNg02,DVM1A,113,5907.0,0.019129845945488402
DNa15,hg1,75,3921.0,0.019127773527161437
untyped_720575941434874912,DVM2A,3,157.0,0.01910828025477707
DNg42,b3,27,1428.0,0.018907563025210083
DNxn122,hg1,39,2069.0,0.018849685838569358
DNa15,i1,73,3921.0,0.018617699566437135
DNg82,hg1,28,1511.0,0.018530774321641297
DNg04,iii4,24,1323.0,0.018140589569160998
DNge175,b1,9,503.0,0.017892644135188866
DNg91,i2,26,1459.0,0.01782042494859493
DNbe005,hg2,17,966.0,0.017598343685300208
DNxn118,i1,14,797.0,0.01756587202007528
DNp28,b3,26,1494.0,0.01740294511378849
DNa10,i1,55,3162.0,0.01739405439595193
DNut053,hg2,16,920.0,0.017391304347826087
DNut058,DLM1,11,636.0,0.01729559748427673
DNut058,hg1,11,636.0,0.01729559748427673
DNp51,hg1,20,1172.0,0.017064846416382253
DNae003,b3,38,2264.0,0.01678445229681979
DNb01,hg2,37,2226.0,0.016621743036837375
DNp26,hg1,28,1702.0,0.01645123384253819
DNut040,hg4,52,3173.0,0.016388276079420106
DNut040,hg2,51,3173.0,0.016073116924046643
DNg04,b2,21,1323.0,0.015873015873015872
DNp22,b3,63,3983.0,0.015817223198594025
DNg05,hg1,33,2096.0,0.015744274809160304
DNge145,b3,5,320.0,0.015625
DNp22,i1,62,3983.0,0.015566156163695707
DNa04,hg4,51,3294.0,0.015482695810564663
DNb07,hg2,90,5845.0,0.015397775876817793
DNg05,hg4,32,2096.0,0.015267175572519083
DNa08,hg3,11,744.0,0.01478494623655914
DNg06,ps1,18,1248.0,0.014423076923076924
DNp31,DVM2A,68,4725.0,0.014391534391534391
DNge090,i2,7,498.0,0.014056224899598393
DNxn177,DVM1A,21,1511.0,0.013898080741230973
DNxn125,hg2,42,3063.0,0.013712047012732615
DNb07,hg3,80,5845.0,0.013686911890504704
DNbe005,hg3,13,966.0,0.013457556935817806
DNut048,b2,3,223.0,0.013452914798206279
DNg32,b2,23,1757.0,0.01309049516220831
DNge110,hg1,4,306.0,0.013071895424836602
DNge016,b2,7,537.0,0.01303538175046555
DNg99,i1,35,2686.0,0.013030528667163067
DNb01,hg1,29,2226.0,0.01302785265049416
DNp03,DVM1A,16,1243.0,0.012872083668543845
DNb05,b2,65,5058.0,0.012850929221035983
DNp31,DVM3A,60,4725.0,0.012698412698412698
DNge001,hg4,6,473.0,0.012684989429175475
DNp16,b3,14,1118.0,0.012522361359570662
DNut062,iii3,3,241.0,0.012448132780082987
DNge038,DVM3A,7,565.0,0.012389380530973451
DNg01,hg2,15,1238.0,0.012116316639741519
DNge014,DLM5,4,331.0,0.012084592145015106
DNp33,i1,26,2152.0,0.012081784386617101
DNut054,iii3,10,828.0,0.012077294685990338
DNxn113,DVM1A,3,249.0,0.012048192771084338
DNpe055,DLM1,14,1163.0,0.012037833190025795
DNge175,DLM5,6,503.0,0.011928429423459244
DNg82,i1,18,1511.0,0.011912640635340834
DNge071,hg1,4,341.0,0.011730205278592375
DNae002,hg1,30,2574.0,0.011655011655011656
DNb06,hg4,28,2449.0,0.011433238056349531
DNnt012,b3,7,617.0,0.011345218800648298
DNa05,hg1,32,2830.0,0.011307420494699646
DNut047,hg1,7,634.0,0.011041009463722398
DNut040,b1,35,3173.0,0.011030570438071227
DNxn007,hg3,12,1089.0,0.011019283746556474
DNut058,b1,7,636.0,0.0110062893081761
DNg93,ps1,104,9520.0,0.010924369747899159
DNg17,DLM1,23,2121.0,0.010843941537010843
DNa03,i1,6,554.0,0.010830324909747292
DNp19,i2,27,2495.0,0.010821643286573146
DNg110,DVM3A,10,925.0,0.010810810810810811
DNut050,b2,4,379.0,0.010554089709762533
DNut037,hg1,13,1248.0,0.010416666666666666
DNa07,hg4,3,293.0,0.010238907849829351
DNxn125,hg3,31,3063.0,0.010120796604635978
DNxn118,hg2,8,797.0,0.010037641154328732
DNxn136,hg1,3,303.0,0.009900990099009901
DNa05,b3,28,2830.0,0.009893992932862191
DNge110,iii4,3,306.0,0.00980392156862745
DNa16,hg1,33,3448.0,0.0095707656612529
DNut058,hg4,6,636.0,0.009433962264150943
DNg99,i2,25,2686.0,0.009307520476545048
DNp72,b3,9,1008.0,0.008928571428571428
DNxn114,i2,4,450.0,0.008888888888888889
DNbe007,hg2,5,563.0,0.008880994671403197
DNpe055,DVM1A,10,1163.0,0.008598452278589854
DNb01,hg3,19,2226.0,0.008535489667565139
DNg02,DLM5,50,5907.0,0.008464533604198408
DNp33,hg4,18,2152.0,0.008364312267657992
DNa09,b3,17,2043.0,0.008321096426823299
DNxn126,DLM1,5,606.0,0.00825082508250825
DNg91,ps1,12,1459.0,0.00822481151473612
DNa08,DVM3A,6,744.0,0.008064516129032258
DNxl130,DVM1A,27,3492.0,0.007731958762886598
DNp51,hg2,9,1172.0,0.007679180887372013
DNg110,DVM2A,7,925.0,0.0075675675675675675
DNge016,DLM1,4,537.0,0.0074487895716946
DNa02,hg1,33,4456.0,0.007405745062836625
DNb06,b2,18,2449.0,0.007349938750510413
DNge118,iii3,3,411.0,0.0072992700729927005
DNa04,iii4,24,3294.0,0.007285974499089253
DNp22,i2,29,3983.0,0.007280944012051218
DNg01,DLM1,9,1238.0,0.007269789983844911
DNut040,DLM5,23,3173.0,0.007248660573589662
DNg06,hg4,9,1248.0,0.007211538461538462
DNp73,i1,24,3348.0,0.007168458781362007
DNg108,ps1,113,15938.0,0.007089973647885556
DNge038,DLM5,4,565.0,0.007079646017699115
DNpe053,DVM3A,7,997.0,0.007021063189568706
DNb07,hg1,41,5845.0,0.0070145423438836615
DNp48,DVM1A,16,2311.0,0.006923409779316313
DNg81,hg4,3,435.0,0.006896551724137931
aSP22,i1,6,893.0,0.006718924972004479
DNp13,iii4,28,4191.0,0.006680983058935815
DNxn114,i1,3,450.0,0.006666666666666667
DNg02,DVM3A,39,5907.0,0.006602336211274758
DNxn126,ps1,4,606.0,0.006600660066006601
DNge109,b2,3,461.0,0.006507592190889371
DNg110,DLM5,6,925.0,0.006486486486486486
DNg01,DLM5,8,1238.0,0.006462035541195477
DNp19,i1,16,2495.0,0.006412825651302605
DNxn151,i2,17,2661.0,0.006388575723412251
DNg92,hg3,4,630.0,0.006349206349206349
DNae002,i1,16,2574.0,0.006216006216006216
DNpe013,hg4,6,966.0,0.006211180124223602
DNxn125,hg1,19,3063.0,0.006203068886712374
DNp60,iii1,4,645.0,0.006201550387596899
DNg71,b3,12,1962.0,0.0061162079510703364
DNut054,i2,5,828.0,0.006038647342995169
DNpe053,DVM2A,6,997.0,0.006018054162487462
DNp07,i2,16,2707.0,0.005910602142593277
DNp26,b3,10,1702.0,0.005875440658049354
DNge032,b2,5,855.0,0.005847953216374269
DNb01,b3,13,2226.0,0.005840071877807727
DNp18,b2,32,5628.0,0.005685856432125089
DNp03,hg1,7,1243.0,0.0056315366049879325
DNpe005,hg3,13,2309.0,0.00563014291901256
DNg10,b3,14,2498.0,0.005604483586869495
DNxn117,i1,4,718.0,0.005571030640668524
DNp57,i1,7,1267.0,0.0055248618784530384
DNa16,iii4,19,3448.0,0.005510440835266821
DNp18,hg1,31,5628.0,0.00550817341862118
DNnt017,hg4,4,737.0,0.005427408412483039
DNa08,hg2,4,744.0,0.005376344086021506
DNa08,i2,4,744.0,0.005376344086021506
DNg07,i2,10,1940.0,0.005154639175257732
DNpe003,hg4,5,991.0,0.005045408678102927
DNxn109,iii4,3,597.0,0.005025125628140704
DNxn142,b2,16,3206.0,0.004990642545227698
DNg03,ps1,5,1034.0,0.004835589941972921
DNg91,i1,7,1459.0,0.004797806716929404
DNp73,i2,16,3348.0,0.0047789725209080045
DNg02,DVM2A,28,5907.0,0.004740138818351109
DNut058,DLM5,3,636.0,0.0047169811320754715
DNut058,hg3,3,636.0,0.0047169811320754715
DNge148,DVM2A,8,1715.0,0.004664723032069971
DNxn163,iii1,17,3647.0,0.004661365505895256
DNg74,ps1,89,20161.0,0.004414463568275383
DNp19,b3,11,2495.0,0.004408817635270541
DNxn142,hg1,14,3206.0,0.004366812227074236
DNb05,b1,22,5058.0,0.004349545274812179
DNp51,DLM5,5,1172.0,0.004266211604095563
DNa12,iii4,4,941.0,0.004250797024442083
DNp31,b2,20,4725.0,0.004232804232804233
DNxn151,b2,11,2661.0,0.004133784291619692
DNg07,hg4,8,1940.0,0.004123711340206186
DNg71,i1,8,1962.0,0.004077471967380225
DNge049,DVM1A,19,4699.0,0.0040434134922323894
DNb07,DLM1,23,5845.0,0.003934987168520102
DNa09,i1,8,2043.0,0.003915810083210965
DNp31,hg4,18,4725.0,0.0038095238095238095
DNp02,i1,14,3755.0,0.0037283621837549932
DNpe001,hg2,3,805.0,0.0037267080745341614
DNge048,iii1,8,2169.0,0.0036883356385431073
DNg41,hg1,5,1358.0,0.003681885125184094
DNxl119,ps1,6,1642.0,0.0036540803897685747
DNp31,iii4,17,4725.0,0.0035978835978835977
DNb05,ps1,18,5058.0,0.0035587188612099642
DNpe005,DVM1A,8,2309.0,0.0034647033347769596
DNxl130,DVM3A,12,3492.0,0.003436426116838488
DNg76,hg3,3,878.0,0.003416856492027335
DNb05,hg1,17,5058.0,0.003361012257809411
DNg05,DLM5,7,2096.0,0.0033396946564885495
DNg17,DLM5,7,2121.0,0.0033003300330033004
DNp63,hg3,4,1237.0,0.0032336297493936943
DNp03,DVM3A,4,1243.0,0.003218020917135961
DNp18,i1,18,5628.0,0.0031982942430703624
DNa16,b3,11,3448.0,0.0031902552204176333
DNbe005,hg4,3,966.0,0.003105590062111801
DNpe005,hg1,7,2309.0,0.0030316154179298397
DNxn102,DVM1A,7,2345.0,0.0029850746268656717
DNg08,b2,8,2684.0,0.0029806259314456036
DNp26,DLM1,5,1702.0,0.002937720329024677
DNa02,hg4,13,4456.0,0.0029174147217235187
DNg03,DVM3A,3,1034.0,0.0029013539651837525
DNg03,hg4,3,1034.0,0.0029013539651837525
DNp18,b3,16,5628.0,0.0028429282160625444
DNb03,b3,8,2824.0,0.0028328611898017
DNg17,DVM2A,6,2121.0,0.002828854314002829
DNxn142,i1,9,3206.0,0.0028072364316905803
DNge049,DVM3A,13,4699.0,0.002766546073632688
DNxn176,i1,3,1116.0,0.002688172043010753
DNg82,i2,4,1511.0,0.0026472534745201853
DNpe005,DVM2A,6,2309.0,0.00259852750108272
DNpe055,ps1,3,1163.0,0.0025795356835769563
DNxl130,DLM1,9,3492.0,0.002577319587628866
DNp51,i1,3,1172.0,0.002559726962457338
