dn_group,muscle,numerator_synapses,denominator_output,output_fraction
DNa08,hg3,11,744.0,0.01478494623655914
DNg06,ps1,18,1248.0,0.014423076923076924
DNp31,DVM2A,68,4725.0,0.014391534391534391
DNge090,i2,7,498.0,0.014056224899598393
DNxn177,DVM1A,21,1511.0,0.013898080741230973
DNxn125,hg2,42,3063.0,0.013712047012732615
DNb07,hg3,80,5845.0,0.013686911890504704
DNbe005,hg3,13,966.0,0.013457556935817806
DNut048,b2,3,223.0,0.013452914798206279
DNg32,b2,23,1757.0,0.01309049516220831
DNge110,hg1,4,306.0,0.013071895424836602
DNge016,b2,7,537.0,0.01303538175046555
DNg99,i1,35,2686.0,0.013030528667163067
DNb01,hg1,29,2226.0,0.01302785265049416
DNp03,DVM1A,16,1243.0,0.012872083668543845
DNb05,b2,65,5058.0,0.012850929221035983
DNp31,DVM3A,60,4725.0,0.012698412698412698
DNge001,hg4,6,473.0,0.012684989429175475
DNp16,b3,14,1118.0,0.012522361359570662
DNut062,iii3,3,241.0,0.012448132780082987
DNge038,DVM3A,7,565.0,0.012389380530973451
DNg01,hg2,15,1238.0,0.012116316639741519
DNge014,DLM5,4,331.0,0.012084592145015106
DNp33,i1,26,2152.0,0.012081784386617101
DNut054,iii3,10,828.0,0.012077294685990338
DNxn113,DVM1A,3,249.0,0.012048192771084338
DNpe055,DLM1,14,1163.0,0.012037833190025795
DNge175,DLM5,6,503.0,0.011928429423459244
DNg82,i1,18,1511.0,0.011912640635340834
DNge071,hg1,4,341.0,0.011730205278592375
DNae002,hg1,30,2574.0,0.011655011655011656
DNb06,hg4,28,2449.0,0.011433238056349531
DNnt012,b3,7,617.0,0.011345218800648298
DNa05,hg1,32,2830.0,0.011307420494699646
DNut047,hg1,7,634.0,0.011041009463722398
DNut040,b1,35,3173.0,0.011030570438071227
DNxn007,hg3,12,1089.0,0.011019283746556474
DNut058,b1,7,636.0,0.0110062893081761
DNg93,ps1,104,9520.0,0.010924369747899159
DNg17,DLM1,23,2121.0,0.010843941537010843
DNa03,i1,6,554.0,0.010830324909747292
DNp19,i2,27,2495.0,0.010821643286573146
DNg110,DVM3A,10,925.0,0.010810810810810811
DNut050,b2,4,379.0,0.010554089709762533
DNut037,hg1,13,1248.0,0.010416666666666666
DNa07,hg4,3,293.0,0.010238907849829351
DNxn125,hg3,31,3063.0,0.010120796604635978
DNxn118,hg2,8,797.0,0.010037641154328732
