interneuron_id,out_degree,degree_centrality,betweenness_centrality,n_mn_targets
720575941669049587,337,0.013621418506341005,0.0,29
720575941564147346,430,0.013621418506341005,0.0,29
720575941524114276,454,0.012682010333489901,0.0,27
720575941511393233,355,0.011742602160638799,0.0,25
720575941515619939,286,0.011742602160638799,0.0,25
720575941457802480,163,0.011742602160638799,0.0,25
720575941516099500,205,0.011272898074213247,0.0,24
720575941703124698,221,0.011272898074213247,0.0,24
720575941612696934,156,0.011272898074213247,0.0,24
720575941484663558,145,0.010803193987787695,0.0,23
720575941402032240,197,0.010803193987787695,0.0,23
720575941477897346,216,0.010333489901362142,0.0,22
720575941594160421,164,0.010333489901362142,0.0,22
720575941671138727,216,0.00986378581493659,0.0,21
720575941618008447,155,0.00986378581493659,0.0,21
720575941554049307,226,0.00986378581493659,0.0,21
720575941518434227,204,0.00986378581493659,0.0,21
720575941460235152,184,0.00986378581493659,0.0,21
720575941637958687,197,0.00986378581493659,0.0,21
720575941623108298,239,0.009394081728511038,0.0,20
720575941408509867,206,0.009394081728511038,0.0,20
720575941474741819,138,0.009394081728511038,0.0,20
720575941517770412,205,0.009394081728511038,0.0,20
720575941407795118,202,0.009394081728511038,0.0,20
720575941449835898,126,0.008924377642085486,0.0,19
720575941412445332,134,0.008924377642085486,0.0,19
720575941437525589,111,0.008924377642085486,0.0,19
720575941551389979,148,0.008924377642085486,0.0,19
720575941642530504,120,0.008924377642085486,0.0,19
720575941561308818,176,0.008454673555659934,0.0,18
720575941409016235,98,0.008454673555659934,0.0,18
720575941431075503,128,0.008454673555659934,0.0,18
720575941571427323,225,0.008454673555659934,0.0,18
720575941563314486,93,0.008454673555659934,0.0,18
720575941490785712,81,0.008454673555659934,0.0,18
720575941519213016,239,0.008454673555659934,0.0,18
720575941477553376,156,0.008454673555659934,0.0,18
720575941456348575,118,0.008454673555659934,0.0,18
720575941551937598,106,0.007984969469234382,0.0,17
720575941513160697,105,0.007984969469234382,0.0,17
720575941581685113,116,0.007984969469234382,0.0,17
720575941431072137,123,0.007984969469234382,0.0,17
720575941429422295,124,0.007515265382808831,0.0,16
720575941562464866,203,0.007515265382808831,0.0,16
720575941440620123,105,0.007515265382808831,0.0,16
720575941489677001,138,0.007515265382808831,0.0,16
720575941652536593,107,0.007515265382808831,0.0,16
720575941527126712,114,0.007515265382808831,0.0,16
720575941570304926,151,0.007515265382808831,0.0,16
720575941580641913,99,0.007515265382808831,0.0,16
720575941567684340,128,0.007515265382808831,0.0,16
720575941435993888,85,0.007515265382808831,0.0,16
720575941503667109,105,0.007515265382808831,0.0,16
