cluster_id,functional_type,n_interneurons,n_connections,total_synapses,mean_synapses,max_synapses,connections_per_in,synapses_per_in
1,steering_control,224,590,11588,19.640677966101695,102,2.6339285714285716,51.732142857142854
2,power_control,181,1249,27965,22.389911929543636,96,6.900552486187845,154.5027624309392
3,steering_control,139,433,9472,21.875288683602772,202,3.115107913669065,68.14388489208633
4,steering_control,299,938,23310,24.850746268656717,208,3.137123745819398,77.95986622073579
5,steering_control,412,1160,24944,21.50344827586207,237,2.8155339805825244,60.54368932038835
