neuron_id,similarity,neuron_id_name
720575941618366079,0.69698834,DNp31
720575941407795118,0.540576,IN19B067
720575941477553376,0.510893,IN19B067
720575941642530504,0.5063781,IN19B075
720575941612696934,0.4998734,IN19B040
720575941551937598,0.49543533,IN19B075
720575941440620123,0.49348345,IN03B089
720575941618008447,0.48728395,IN19B067
720575941517770412,0.48589706,IN18B034
720575941580641913,0.48567608,IN19B075
720575941409016235,0.48019427,IN19B075
720575941637958687,0.47479448,IN19B067
720575941564147346,0.47246715,IN19B043
720575941570304926,0.47170806,IN06B053
720575941581685113,0.4694246,IN19B075
720575941484663558,0.4629976,IN19B067
720575941630936251,0.46024188,IN03B089
720575941408509867,0.45985335,IN18B034
720575941551632794,0.4594439,IN06B066
720575941551389979,0.45611167,IN19B043
