dn_id,dn_name
720575941563218944,DNxn122
720575941526954498,DNut051
720575941392812548,DNp26
720575941534435338,DNp22
720575941510642192,DNa10
720575941447863316,DNb05
720575941527162905,DNb05
720575941638407199,DNa15
720575941558607396,DNp03
720575941592893992,DNp49
720575941732586539,DNg05
720575941476477492,DNxn122
720575941662506040,DNg27
720575941478195265,DNg42
720575941486700098,DNa05
720575941507568709,DNa16
720575941453030983,DNb07
720575941450506830,DNp18
720575941504328791,DNpe005
720575941542534236,DNp13
720575941478585450,DNp22
720575941451941498,DNp33
720575941618366079,DNp31
720575941496919168,DNp57
720575941598950556,DNg27
720575941572471454,DNg108
720575941411441323,DNxn124
720575941612195501,DNg17
720575941492697264,DNp28
720575941547452084,DNp49
720575941440280767,DNa15
720575941504652482,DNxn124
720575941645444808,DNp22
720575941489083596,DNg02
720575941539809997,DNp03
720575941441974479,DNg02
720575941612044518,DNa04
720575941537703144,DNg04
720575941503528171,DNg02
720575941631642860,DNut037
720575941539226866,DNp63
720575941624831228,DNg17
720575941591050494,DNg32
720575941551948543,DNp63
720575941545312005,DNp22
720575941510475536,DNa02
720575941436259602,DNut047
720575941639588127,DNp33
720575941595189029,DNp18
720575941629872422,DNut037
720575941600878377,DNa05
720575941566309174,DNp26
720575941471955264,DNut040
720575941470254400,DNa08
720575941477013825,DNg04
720575941472044352,DNg82
720575941511473996,DNut054
720575941441643867,DNg02
720575941540246364,DNxn125
720575941505673566,DNg82
720575941594823537,DNp05
720575941568870770,DNa10
720575941471808375,DNxn125
720575941618895231,DNb01
720575941509010305,DNxn151
720575941533704067,DNp31
720575941532728195,DNut040
720575941552726407,DNg99
720575941548169608,DNp51
720575941431097737,DNxl130
720575941414341521,DNxn102
720575941414262161,DNxn163
720575941625972123,DNae003
720575941557413284,DNut051
720575941563183016,DNg74
720575941611992493,DNxn007
720575941528849848,DNg08
720575941602323897,DNa04
720575941496011719,DNa16
720575941511336402,DNg04
720575941628867042,DNg04
720575941612039142,DNbe005
720575941456897005,DNa02
720575941652633585,DNae002
720575941652614129,DNae002
720575941523099127,DNut053
720575941574230523,DNg02
