muscle,n_dns,total_synapses
DLM1,19,1078
ps1,20,916
unknown,22,630
hg1,19,591
i2,10,564
i1,18,505
b3,18,428
b2,13,358
DLM5,11,324
hg4,14,279
DVM1A,6,207
iii1,4,184
b1,3,149
hg2,8,122
iii4,4,76
hg3,3,53
DVM3A,3,47
DVM2A,1,10
