dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941440280767,DNa15,720575941429556655,720575941456201887,hg1,steering,42,16,672
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,42,57,2394
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,42,10,420
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,42,14,588
720575941440280767,DNa15,720575941429556655,720575941456201887,hg1,steering,11,16,176
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,11,57,627
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,11,10,110
720575941440280767,DNa15,720575941429556655,720575941630940642,hg4,steering,11,14,154
720575941440280767,DNa15,720575941456348575,720575941456201887,hg1,steering,14,39,546
720575941440280767,DNa15,720575941456348575,720575941458961604,iii3,steering,14,20,280
720575941440280767,DNa15,720575941456348575,720575941459347411,iii4,steering,14,48,672
720575941440280767,DNa15,720575941456348575,720575941459347411,iii4,steering,14,13,182
720575941440280767,DNa15,720575941456348575,720575941483845954,hg3,steering,14,19,266
720575941440280767,DNa15,720575941456348575,720575941630940642,hg4,steering,14,61,854
720575941440280767,DNa15,720575941456348575,720575941630940642,hg4,steering,14,13,182
720575941440280767,DNa15,720575941458334163,720575941624155644,b2,steering,33,14,462
720575941440280767,DNa15,720575941458334163,720575941624155644,b2,steering,33,50,1650
720575941440280767,DNa15,720575941464768790,720575941456201887,hg1,steering,15,22,330
720575941440280767,DNa15,720575941464768790,720575941459347411,iii4,steering,15,10,150
720575941440280767,DNa15,720575941464768790,720575941630940642,hg4,steering,15,30,450
720575941440280767,DNa15,720575941474334779,720575941732789547,hg2,steering,10,11,110
720575941440280767,DNa15,720575941495591291,720575941542412805,b3,steering,14,19,266
720575941440280767,DNa15,720575941495591291,720575941542412805,b3,steering,14,22,308
720575941440280767,DNa15,720575941495591291,720575941542412805,b3,steering,14,25,350
720575941440280767,DNa15,720575941495591291,720575941547315060,i1,steering,14,14,196
720575941440280767,DNa15,720575941495591291,720575941547315060,i1,steering,14,12,168
