dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941632167611,DNg73,indirect_only,0,0,4,90,4,90,0.0
720575941574230523,DNg02,both,5,76,1,11,6,87,0.8735632183908046
720575941542664284,DNxn176,indirect_only,0,0,6,87,6,87,0.0
720575941688517388,DNg93,direct_only,4,87,0,0,4,87,1.0
720575941536778389,DNg01,indirect_only,0,0,5,86,5,86,0.0
720575941438690834,DNp51,indirect_only,0,0,4,86,4,86,0.0
720575941545312005,DNp22,both,1,13,5,69,6,82,0.15853658536585366
720575941656710736,DNge091,indirect_only,0,0,6,81,6,81,0.0
720575941572669342,DNb06,indirect_only,0,0,5,81,5,81,0.0
720575941579876085,DNg74,indirect_only,0,0,3,81,3,81,0.0
720575941681032125,DNg02,direct_only,5,80,0,0,5,80,1.0
720575941435430542,DNg42,indirect_only,0,0,4,79,4,79,0.0
720575941548169608,DNp51,both,1,20,4,59,5,79,0.25316455696202533
720575941441623899,DNg75,indirect_only,0,0,3,79,3,79,0.0
720575941532746981,DNp43,indirect_only,0,0,5,79,5,79,0.0
720575941491992807,DNg100,indirect_only,0,0,1,78,1,78,0.0
720575941414424977,DNp57,indirect_only,0,0,6,78,6,78,0.0
720575941681678525,DNge093,indirect_only,0,0,3,78,3,78,0.0
720575941455714541,DNb02,indirect_only,0,0,5,77,5,77,0.0
720575941555674340,DNg41,indirect_only,0,0,5,76,5,76,0.0
720575941612195501,DNg17,both,1,42,3,34,4,76,0.5526315789473685
720575941537703144,DNg04,both,3,54,1,21,4,75,0.72
720575941626967865,DNge091,indirect_only,0,0,6,74,6,74,0.0
720575941489083596,DNg02,both,4,58,1,16,5,74,0.7837837837837838
720575941514461772,DNp11,indirect_only,0,0,4,74,4,74,0.0
720575941471127104,DNp53,indirect_only,0,0,4,73,4,73,0.0
720575941503507435,DNp02,indirect_only,0,0,5,73,5,73,0.0
720575941629726246,DNp07,indirect_only,0,0,5,73,5,73,0.0
720575941595955569,DNp13,indirect_only,0,0,5,73,5,73,0.0
720575941539809997,DNp03,both,3,44,2,28,5,72,0.6111111111111112
720575941611791590,DNp06,indirect_only,0,0,4,72,4,72,0.0
720575941566556775,DNxn159,indirect_only,0,0,3,70,3,70,0.0
720575941657879576,DNp06,indirect_only,0,0,5,69,5,69,0.0
720575941612286428,DNut048,indirect_only,0,0,5,69,5,69,0.0
720575941514949881,DNnt017,indirect_only,0,0,1,67,1,67,0.0
720575941652815857,DNb03,indirect_only,0,0,3,67,3,67,0.0
720575941536972018,DNg32,indirect_only,0,0,4,67,4,67,0.0
720575941551948543,DNp63,both,1,11,4,54,5,65,0.16923076923076924
720575941503528171,DNg02,both,3,44,2,21,5,65,0.676923076923077
720575941534435338,DNp22,both,1,13,4,52,5,65,0.2
720575941554952858,DNge053,indirect_only,0,0,3,64,3,64,0.0
720575941535140362,DNg15,indirect_only,0,0,6,64,6,64,0.0
720575941433654048,DNge175,indirect_only,0,0,5,64,5,64,0.0
720575941563391383,DNg82,indirect_only,0,0,4,63,4,63,0.0
720575941612039142,DNbe005,both,3,51,1,12,4,63,0.8095238095238095
720575941519463278,DNg108,indirect_only,0,0,2,63,2,63,0.0
720575941550794751,DNg36,indirect_only,0,0,2,62,2,62,0.0
720575941472044352,DNg82,both,2,21,2,41,4,62,0.3387096774193548
720575941470254400,DNa08,both,2,51,1,10,3,61,0.8360655737704918
720575941591448972,DNa08,direct_only,4,61,0,0,4,61,1.0
720575941504810290,DNg90,indirect_only,0,0,1,61,1,61,0.0
720575941449983581,DNg15,indirect_only,0,0,4,58,4,58,0.0
720575941565245794,DNxn151,indirect_only,0,0,4,58,4,58,0.0
720575941531996645,DNpe042,indirect_only,0,0,3,57,3,57,0.0
720575941601731769,DNxn118,indirect_only,0,0,3,57,3,57,0.0
720575941476852254,DNg62,indirect_only,0,0,1,57,1,57,0.0
720575941732586539,DNg05,both,3,32,2,24,5,56,0.5714285714285714
720575941480784258,DNp43,indirect_only,0,0,4,56,4,56,0.0
720575941536301288,DNb02,indirect_only,0,0,4,56,4,56,0.0
720575941494986951,DNg02,direct_only,4,56,0,0,4,56,1.0
720575941483554189,DNut050,indirect_only,0,0,4,55,4,55,0.0
720575941561376813,DNde006,indirect_only,0,0,2,54,2,54,0.0
720575941562215469,DNg98,indirect_only,0,0,4,53,4,53,0.0
