min_synapses,n_premotor_ins,n_in_mn_connections,total_in_mn_synapses,avg_synapses_per_connection,silhouette,calinski_harabasz,n_hubs,hub_percentage,n_dns,n_dn_in_connections,total_dn_in_synapses,power_clusters,steering_clusters,power_ins,steering_ins,power_percentage,steering_percentage
15,954,2580,76292,29.570542635658914,0.46883500954488366,99.27388353054052,954,100.0,244,641,16414,1,4,146,808,15.30398322851153,84.69601677148847
20,707,1664,60943,36.62439903846154,0.4662874617055571,78.90204378178686,707,100.0,149,320,10368,2,3,192,515,27.157001414427157,72.84299858557284
25,530,1156,49863,43.1340830449827,0.49653629244020575,46.81286500193724,530,100.0,88,165,6460,1,4,108,422,20.37735849056604,79.62264150943396
30,396,794,40183,50.60831234256927,0.5129190765403786,38.9289158664862,396,100.0,51,86,3837,1,4,96,300,24.242424242424242,75.75757575757575
40,240,445,28408,63.83820224719101,0.5060329266506123,27.783726485880543,240,100.0,19,25,1571,2,3,132,108,55.00000000000001,45.0
50,163,271,20824,76.84132841328413,0.5245688203102693,19.994578502310727,163,100.0,7,11,864,2,3,83,80,50.920245398773,49.079754601226995
